Tabelle: 12521-03i
Ausländische Bevölkerung nach Geschlecht und;;;;;;;
Staatsangehörigkeiten (215);;;;;;;
- kreisfreie Städte und Kreise - Stichtag;;;;;;;
Ausländerstatistik (AZR);;;;;;;
;;;;;Ausländische Bevölkerung;Ausländische Bevölkerung;Ausländische Bevölkerung
;;;;;Insgesamt;männlich;weiblich
;;;;;Anzahl;Anzahl;Anzahl
31.12.2024;05119;    Oberhausen, krfr. Stadt;450;  Kirgisistan;10;10;5
31.12.2024;05119;    Oberhausen, krfr. Stadt;451;  Libanon;290;165;130
31.12.2024;05119;    Oberhausen, krfr. Stadt;454;  Malediven;-;-;-
31.12.2024;05119;    Oberhausen, krfr. Stadt;456;  Oman;-;-;-
31.12.2024;05119;    Oberhausen, krfr. Stadt;457;  Mongolei;5;5;5
31.12.2024;05119;    Oberhausen, krfr. Stadt;458;  Nepal;15;5;5
31.12.2024;05119;    Oberhausen, krfr. Stadt;459;  Palästinensische Gebiete (ab 2013);10;5;5
31.12.2024;05119;    Oberhausen, krfr. Stadt;460;  Bangladesch;60;45;15
31.12.2024;05119;    Oberhausen, krfr. Stadt;461;  Pakistan;145;80;65
31.12.2024;05119;    Oberhausen, krfr. Stadt;462;  Philippinen;75;20;55
31.12.2024;05119;    Oberhausen, krfr. Stadt;465;  Taiwan, (China );5;-;-
31.12.2024;05119;    Oberhausen, krfr. Stadt;467;  Korea, Republik (Südkorea);30;15;15
31.12.2024;05119;    Oberhausen, krfr. Stadt;469;  Vereinigte Arabische Emirate;-;-;-
31.12.2024;05119;    Oberhausen, krfr. Stadt;470;  Tadschikistan;45;25;20
31.12.2024;05119;    Oberhausen, krfr. Stadt;471;  Turkmenistan;-;-;-
31.12.2024;05119;    Oberhausen, krfr. Stadt;472;  Saudi-Arabien;5;-;-
31.12.2024;05119;    Oberhausen, krfr. Stadt;474;  Singapur;-;-;-
31.12.2024;05119;    Oberhausen, krfr. Stadt;475;  Syrien;4030;2200;1830
31.12.2024;05119;    Oberhausen, krfr. Stadt;476;  Thailand;150;20;130
31.12.2024;05119;    Oberhausen, krfr. Stadt;477;  Usbekistan;25;15;15
31.12.2024;05119;    Oberhausen, krfr. Stadt;479;  China (Festland);140;50;95
31.12.2024;05119;    Oberhausen, krfr. Stadt;482;  Malaysia;10;5;5
31.12.2024;05119;    Oberhausen, krfr. Stadt;483;  Timor-Leste;-;-;-
31.12.2024;05119;    Oberhausen, krfr. Stadt;499;  Übriges Asien, Macau;-;-;-
31.12.2024;05119;    Oberhausen, krfr. Stadt;5;Australien / Ozeanien;15;10;5
31.12.2024;05119;    Oberhausen, krfr. Stadt;523;  Australien;10;5;5
31.12.2024;05119;    Oberhausen, krfr. Stadt;524;  Salomonen;-;-;-
31.12.2024;05119;    Oberhausen, krfr. Stadt;526;  Fidschi;-;-;-
31.12.2024;05119;    Oberhausen, krfr. Stadt;527;  Cookinseln;-;-;-
31.12.2024;05119;    Oberhausen, krfr. Stadt;530;  Kiribati;-;-;-
31.12.2024;05119;    Oberhausen, krfr. Stadt;531;  Nauru;-;-;-
31.12.2024;05119;    Oberhausen, krfr. Stadt;532;  Vanuatu;-;-;-
31.12.2024;05119;    Oberhausen, krfr. Stadt;536;  Neuseeland;5;-;-
31.12.2024;05119;    Oberhausen, krfr. Stadt;537;  Palau;-;-;-
31.12.2024;05119;    Oberhausen, krfr. Stadt;538;  Papua-Neuguinea;-;-;-
31.12.2024;05119;    Oberhausen, krfr. Stadt;540;  Tuvalu;-;-;-
31.12.2024;05119;    Oberhausen, krfr. Stadt;541;  Tonga;-;-;-
31.12.2024;05119;    Oberhausen, krfr. Stadt;543;  Samoa;-;-;-
31.12.2024;05119;    Oberhausen, krfr. Stadt;544;  Marshallinseln;-;-;-
31.12.2024;05119;    Oberhausen, krfr. Stadt;599;  Übriges Ozeanien;-;-;-
31.12.2024;05119;    Oberhausen, krfr. Stadt;9;Sonstige;450;255;190
31.12.2024;05119;    Oberhausen, krfr. Stadt;997;  staatenlos;185;110;75
31.12.2024;05119;    Oberhausen, krfr. Stadt;998;  ungeklärt;260;145;115
31.12.2024;05119;    Oberhausen, krfr. Stadt;999;  ohne Angabe;5;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;1;Europa;19060;9785;9275
31.12.2024;05120;    Remscheid, krfr. Stadt;121;  Albanien;255;145;110
31.12.2024;05120;    Remscheid, krfr. Stadt;122;  Bosnien und Herzegowina;560;295;270
31.12.2024;05120;    Remscheid, krfr. Stadt;123;  Andorra;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;124;  Belgien;45;30;15
31.12.2024;05120;    Remscheid, krfr. Stadt;125;  Bulgarien;1470;775;695
31.12.2024;05120;    Remscheid, krfr. Stadt;126;  Dänemark;5;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;127;  Estland;5;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;128;  Finnland;10;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;129;  Frankreich;55;25;35
31.12.2024;05120;    Remscheid, krfr. Stadt;130;  Kroatien;630;320;310
31.12.2024;05120;    Remscheid, krfr. Stadt;131;  Slowenien;50;25;25
31.12.2024;05120;    Remscheid, krfr. Stadt;132;  Serbien und Montenegro (ab 01.01.2004-31.07.2006);10;5;5
31.12.2024;05120;    Remscheid, krfr. Stadt;133;  Serbien (ab 01.08.2006);-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;134;  Griechenland;255;145;115
31.12.2024;05120;    Remscheid, krfr. Stadt;135;  Irland;5;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;136;  Island;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;137;  Italien;2980;1675;1310
31.12.2024;05120;    Remscheid, krfr. Stadt;138;  Jugoslawien (ehem.);15;10;5
31.12.2024;05120;    Remscheid, krfr. Stadt;139;  Lettland;10;5;5
31.12.2024;05120;    Remscheid, krfr. Stadt;140;  Montenegro (ab 01.08.2006);75;45;30
31.12.2024;05120;    Remscheid, krfr. Stadt;141;  Liechtenstein;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;142;  Litauen;45;15;30
31.12.2024;05120;    Remscheid, krfr. Stadt;143;  Luxemburg;10;5;5
31.12.2024;05120;    Remscheid, krfr. Stadt;144;  Nordmazedonien;970;500;470
31.12.2024;05120;    Remscheid, krfr. Stadt;145;  Malta;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;146;  Moldau;10;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;147;  Monaco;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;148;  Niederlande;145;70;80
31.12.2024;05120;    Remscheid, krfr. Stadt;149;  Norwegen;10;5;5
31.12.2024;05120;    Remscheid, krfr. Stadt;150;  Kosovo (ab 01.05.2008);500;275;230
31.12.2024;05120;    Remscheid, krfr. Stadt;151;  Österreich;110;50;60
31.12.2024;05120;    Remscheid, krfr. Stadt;152;  Polen;1215;575;640
31.12.2024;05120;    Remscheid, krfr. Stadt;153;  Portugal;425;225;200
31.12.2024;05120;    Remscheid, krfr. Stadt;154;  Rumänien;430;245;185
31.12.2024;05120;    Remscheid, krfr. Stadt;155;  Slowakei;25;10;15
31.12.2024;05120;    Remscheid, krfr. Stadt;156;  San Marino;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;157;  Schweden;20;10;10
31.12.2024;05120;    Remscheid, krfr. Stadt;158;  Schweiz;25;15;10
31.12.2024;05120;    Remscheid, krfr. Stadt;159;  ehem. Sowjetunion o.n.A.;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;160;  Russische Föderation;195;80;115
31.12.2024;05120;    Remscheid, krfr. Stadt;161;  Spanien;795;400;395
31.12.2024;05120;    Remscheid, krfr. Stadt;162;  Tschechoslowakei (ehem.);-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;163;  Türkei;5595;2880;2710
31.12.2024;05120;    Remscheid, krfr. Stadt;164;  Tschechische Republik;40;15;20
31.12.2024;05120;    Remscheid, krfr. Stadt;165;  Ungarn;90;50;40
31.12.2024;05120;    Remscheid, krfr. Stadt;166;  Ukraine;1255;505;755
31.12.2024;05120;    Remscheid, krfr. Stadt;167;  Vatikanstadt;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;168;  Vereinigtes Königreich;35;20;15
31.12.2024;05120;    Remscheid, krfr. Stadt;169;  Belarus;20;5;15
31.12.2024;05120;    Remscheid, krfr. Stadt;170;  Serbien ohne Kosovo (ab 01.05.2008);665;335;330
31.12.2024;05120;    Remscheid, krfr. Stadt;181;  Zypern;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;185;  Britische Überseegebiete;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;195;  Gibraltar, Insel Man, Kanalinseln (brit. abhängige Gebiete);-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;199;  Übriges Europa;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;295;  Sankt Helena, einschl. Ascension (brit. abhängiges Gebiet);-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;395;  brit. abhängige Gebiete;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;495;  Hongkong (brit. abhängiges Gebiet);-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;2;Afrika;1095;580;510
31.12.2024;05120;    Remscheid, krfr. Stadt;221;  Algerien;30;20;10
31.12.2024;05120;    Remscheid, krfr. Stadt;223;  Angola;10;5;5
31.12.2024;05120;    Remscheid, krfr. Stadt;224;  Eritrea;105;65;40
31.12.2024;05120;    Remscheid, krfr. Stadt;225;  Äthiopien;10;5;5
31.12.2024;05120;    Remscheid, krfr. Stadt;226;  Lesotho;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;227;  Botsuana;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;229;  Benin;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;230;  Dschibuti;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;231;  Cote d'Ivoire;5;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;232;  Nigeria;130;65;65
31.12.2024;05120;    Remscheid, krfr. Stadt;233;  Simbabwe;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;236;  Gabun;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;237;  Gambia;5;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;238;  Ghana;75;40;35
31.12.2024;05120;    Remscheid, krfr. Stadt;239;  Mauretanien;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;242;  Kap Verde;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;243;  Kenia;10;5;5
31.12.2024;05120;    Remscheid, krfr. Stadt;244;  Komoren;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;245;  Kongo (Republik);5;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;246;  Kongo, Demokratische Republik;15;10;5
31.12.2024;05120;    Remscheid, krfr. Stadt;247;  Liberia;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;248;  Libyen;15;5;10
31.12.2024;05120;    Remscheid, krfr. Stadt;249;  Madagaskar;5;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;251;  Mali;10;5;5
31.12.2024;05120;    Remscheid, krfr. Stadt;252;  Marokko;275;130;145
31.12.2024;05120;    Remscheid, krfr. Stadt;253;  Mauritius;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;254;  Mosambik;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;255;  Niger;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;256;  Malawi;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;257;  Sambia;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;258;  Burkina Faso;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;259;  Guinea-Bissau;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;261;  Guinea;125;80;45
31.12.2024;05120;    Remscheid, krfr. Stadt;262;  Kamerun;25;20;5
31.12.2024;05120;    Remscheid, krfr. Stadt;263;  Südafrika;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;265;  Ruanda;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;267;  Namibia;5;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;268;  Sao Tome und Principe;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;269;  Senegal;10;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;271;  Seychellen;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;272;  Sierra Leone;5;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;273;  Somalia;90;50;40
31.12.2024;05120;    Remscheid, krfr. Stadt;274;  Äquatorialguinea;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;276;  Sudan (einschließlich Südsudan);5;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;281;  Eswatini (ehemals Swasiland);-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;282;  Tansania, Vereinigte Republik;5;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;283;  Togo;5;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;284;  Tschad;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;285;  Tunesien;90;40;50
31.12.2024;05120;    Remscheid, krfr. Stadt;286;  Uganda;5;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;287;  Ägypten;15;10;5
31.12.2024;05120;    Remscheid, krfr. Stadt;289;  Zentralafrikanische Republik;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;291;  Burundi;5;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;299;  Übriges Afrika, Mayotte, Réunion;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;3;Amerika;170;65;105
31.12.2024;05120;    Remscheid, krfr. Stadt;320;  Antigua und Barbuda;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;322;  Barbados;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;323;  Argentinien;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;324;  Bahamas;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;326;  Bolivien;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;327;  Brasilien;35;5;30
31.12.2024;05120;    Remscheid, krfr. Stadt;328;  Guyana;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;330;  Belize;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;332;  Chile;5;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;333;  Dominica;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;334;  Costa Rica;5;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;335;  Dominikanische Republik;20;10;10
31.12.2024;05120;    Remscheid, krfr. Stadt;336;  Ecuador;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;337;  El Salvador;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;340;  Grenada;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;345;  Guatemala;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;346;  Haiti;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;347;  Honduras;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;348;  Kanada;10;5;5
31.12.2024;05120;    Remscheid, krfr. Stadt;349;  Kolumbien;15;5;10
31.12.2024;05120;    Remscheid, krfr. Stadt;351;  Kuba;10;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;353;  Mexiko;5;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;354;  Nicaragua;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;355;  Jamaika;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;357;  Panama;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;359;  Paraguay;5;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;361;  Peru;5;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;364;  Suriname;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;365;  Uruguay;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;366;  St. Lucia;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;367;  Venezuela;15;5;10
31.12.2024;05120;    Remscheid, krfr. Stadt;368;  USA;30;15;15
31.12.2024;05120;    Remscheid, krfr. Stadt;369;  St.Vincent und die Grenadinen;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;370;  St.Kitts (St. Cristopher) und Nevis;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;371;  Trinidad und Tobago;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;399;  Übriges Amerika;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;4;Asien;3510;1925;1590
31.12.2024;05120;    Remscheid, krfr. Stadt;411;  Hongkong;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;412;  Macau (chinesisch);-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;421;  Jemen;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;422;  Armenien;85;40;40
31.12.2024;05120;    Remscheid, krfr. Stadt;423;  Afghanistan;520;310;210
31.12.2024;05120;    Remscheid, krfr. Stadt;424;  Bahrain;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;425;  Aserbaidschan;60;30;25
31.12.2024;05120;    Remscheid, krfr. Stadt;426;  Bhutan;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;427;  Myanmar;5;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;429;  Brunei;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;430;  Georgien;25;15;10
31.12.2024;05120;    Remscheid, krfr. Stadt;431;  Sri Lanka;40;15;25
31.12.2024;05120;    Remscheid, krfr. Stadt;432;  Vietnam;95;40;55
31.12.2024;05120;    Remscheid, krfr. Stadt;434;  Korea, Volksrepublik (Nordkorea);-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;436;  Indien;115;60;55
31.12.2024;05120;    Remscheid, krfr. Stadt;437;  Indonesien;10;5;10
31.12.2024;05120;    Remscheid, krfr. Stadt;438;  Irak;365;200;165
31.12.2024;05120;    Remscheid, krfr. Stadt;439;  Iran;200;120;80
31.12.2024;05120;    Remscheid, krfr. Stadt;441;  Israel;5;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;442;  Japan;15;5;10
31.12.2024;05120;    Remscheid, krfr. Stadt;444;  Kasachstan;75;35;40
31.12.2024;05120;    Remscheid, krfr. Stadt;445;  Jordanien;20;10;10
31.12.2024;05120;    Remscheid, krfr. Stadt;446;  Kambodscha;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;447;  Katar;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;448;  Kuwait;5;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;449;  Laos;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;450;  Kirgisistan;5;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;451;  Libanon;40;30;10
31.12.2024;05120;    Remscheid, krfr. Stadt;454;  Malediven;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;456;  Oman;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;457;  Mongolei;5;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;458;  Nepal;5;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;459;  Palästinensische Gebiete (ab 2013);5;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;460;  Bangladesch;25;15;10
31.12.2024;05120;    Remscheid, krfr. Stadt;461;  Pakistan;55;30;25
31.12.2024;05120;    Remscheid, krfr. Stadt;462;  Philippinen;50;10;40
31.12.2024;05120;    Remscheid, krfr. Stadt;465;  Taiwan, (China );5;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;467;  Korea, Republik (Südkorea);10;5;10
31.12.2024;05120;    Remscheid, krfr. Stadt;469;  Vereinigte Arabische Emirate;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;470;  Tadschikistan;10;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;471;  Turkmenistan;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;472;  Saudi-Arabien;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;474;  Singapur;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;475;  Syrien;1515;890;625
31.12.2024;05120;    Remscheid, krfr. Stadt;476;  Thailand;70;10;65
31.12.2024;05120;    Remscheid, krfr. Stadt;477;  Usbekistan;5;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;479;  China (Festland);70;25;40
31.12.2024;05120;    Remscheid, krfr. Stadt;482;  Malaysia;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;483;  Timor-Leste;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;499;  Übriges Asien, Macau;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;5;Australien / Ozeanien;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;523;  Australien;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;524;  Salomonen;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;526;  Fidschi;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;527;  Cookinseln;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;530;  Kiribati;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;531;  Nauru;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;532;  Vanuatu;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;536;  Neuseeland;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;537;  Palau;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;538;  Papua-Neuguinea;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;540;  Tuvalu;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;541;  Tonga;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;543;  Samoa;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;544;  Marshallinseln;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;599;  Übriges Ozeanien;-;-;-
31.12.2024;05120;    Remscheid, krfr. Stadt;9;Sonstige;155;75;75
31.12.2024;05120;    Remscheid, krfr. Stadt;997;  staatenlos;55;25;30
31.12.2024;05120;    Remscheid, krfr. Stadt;998;  ungeklärt;90;50;40
31.12.2024;05120;    Remscheid, krfr. Stadt;999;  ohne Angabe;5;-;-
31.12.2024;05122;    Solingen, krfr. Stadt;1;Europa;24360;12320;12035
31.12.2024;05122;    Solingen, krfr. Stadt;121;  Albanien;385;215;170
31.12.2024;05122;    Solingen, krfr. Stadt;122;  Bosnien und Herzegowina;325;175;150
31.12.2024;05122;    Solingen, krfr. Stadt;123;  Andorra;-;-;-
31.12.2024;05122;    Solingen, krfr. Stadt;124;  Belgien;65;30;35
31.12.2024;05122;    Solingen, krfr. Stadt;125;  Bulgarien;1395;705;685
31.12.2024;05122;    Solingen, krfr. Stadt;126;  Dänemark;10;5;5
31.12.2024;05122;    Solingen, krfr. Stadt;127;  Estland;5;-;-
31.12.2024;05122;    Solingen, krfr. Stadt;128;  Finnland;20;5;15
31.12.2024;05122;    Solingen, krfr. Stadt;129;  Frankreich;150;60;90
31.12.2024;05122;    Solingen, krfr. Stadt;130;  Kroatien;610;315;295
31.12.2024;05122;    Solingen, krfr. Stadt;131;  Slowenien;115;55;60
31.12.2024;05122;    Solingen, krfr. Stadt;132;  Serbien und Montenegro (ab 01.01.2004-31.07.2006);20;10;10
31.12.2024;05122;    Solingen, krfr. Stadt;133;  Serbien (ab 01.08.2006);-;-;-
31.12.2024;05122;    Solingen, krfr. Stadt;134;  Griechenland;1260;660;595
31.12.2024;05122;    Solingen, krfr. Stadt;135;  Irland;15;10;5
31.12.2024;05122;    Solingen, krfr. Stadt;136;  Island;-;-;-
31.12.2024;05122;    Solingen, krfr. Stadt;137;  Italien;5445;3015;2430
31.12.2024;05122;    Solingen, krfr. Stadt;138;  Jugoslawien (ehem.);10;5;5
31.12.2024;05122;    Solingen, krfr. Stadt;139;  Lettland;40;15;25
31.12.2024;05122;    Solingen, krfr. Stadt;140;  Montenegro (ab 01.08.2006);10;5;5
31.12.2024;05122;    Solingen, krfr. Stadt;141;  Liechtenstein;-;-;-
31.12.2024;05122;    Solingen, krfr. Stadt;142;  Litauen;60;25;35
31.12.2024;05122;    Solingen, krfr. Stadt;143;  Luxemburg;10;-;-
31.12.2024;05122;    Solingen, krfr. Stadt;144;  Nordmazedonien;385;200;185
31.12.2024;05122;    Solingen, krfr. Stadt;145;  Malta;-;-;-
31.12.2024;05122;    Solingen, krfr. Stadt;146;  Moldau;55;15;35
31.12.2024;05122;    Solingen, krfr. Stadt;147;  Monaco;-;-;-
31.12.2024;05122;    Solingen, krfr. Stadt;148;  Niederlande;290;130;155
31.12.2024;05122;    Solingen, krfr. Stadt;149;  Norwegen;5;-;-
31.12.2024;05122;    Solingen, krfr. Stadt;150;  Kosovo (ab 01.05.2008);670;365;305
31.12.2024;05122;    Solingen, krfr. Stadt;151;  Österreich;230;120;115
31.12.2024;05122;    Solingen, krfr. Stadt;152;  Polen;1660;790;870
31.12.2024;05122;    Solingen, krfr. Stadt;153;  Portugal;345;175;170
31.12.2024;05122;    Solingen, krfr. Stadt;154;  Rumänien;865;500;365
31.12.2024;05122;    Solingen, krfr. Stadt;155;  Slowakei;75;40;35
31.12.2024;05122;    Solingen, krfr. Stadt;156;  San Marino;-;-;-
31.12.2024;05122;    Solingen, krfr. Stadt;157;  Schweden;35;20;15
31.12.2024;05122;    Solingen, krfr. Stadt;158;  Schweiz;40;15;20
31.12.2024;05122;    Solingen, krfr. Stadt;159;  ehem. Sowjetunion o.n.A.;5;-;-
31.12.2024;05122;    Solingen, krfr. Stadt;160;  Russische Föderation;400;130;270
31.12.2024;05122;    Solingen, krfr. Stadt;161;  Spanien;380;200;180
31.12.2024;05122;    Solingen, krfr. Stadt;162;  Tschechoslowakei (ehem.);-;-;-
31.12.2024;05122;    Solingen, krfr. Stadt;163;  Türkei;5765;2885;2880
31.12.2024;05122;    Solingen, krfr. Stadt;164;  Tschechische Republik;35;15;20
31.12.2024;05122;    Solingen, krfr. Stadt;165;  Ungarn;220;120;100
31.12.2024;05122;    Solingen, krfr. Stadt;166;  Ukraine;2145;885;1260
31.12.2024;05122;    Solingen, krfr. Stadt;167;  Vatikanstadt;-;-;-
31.12.2024;05122;    Solingen, krfr. Stadt;168;  Vereinigtes Königreich;50;30;20
31.12.2024;05122;    Solingen, krfr. Stadt;169;  Belarus;30;10;20
31.12.2024;05122;    Solingen, krfr. Stadt;170;  Serbien ohne Kosovo (ab 01.05.2008);720;345;375
31.12.2024;05122;    Solingen, krfr. Stadt;181;  Zypern;5;5;5
31.12.2024;05122;    Solingen, krfr. Stadt;185;  Britische Überseegebiete;-;-;-
31.12.2024;05122;    Solingen, krfr. Stadt;195;  Gibraltar, Insel Man, Kanalinseln (brit. abhängige Gebiete);-;-;-
31.12.2024;05122;    Solingen, krfr. Stadt;199;  Übriges Europa;-;-;-
31.12.2024;05122;    Solingen, krfr. Stadt;295;  Sankt Helena, einschl. Ascension (brit. abhängiges Gebiet);-;-;-
31.12.2024;05122;    Solingen, krfr. Stadt;395;  brit. abhängige Gebiete;-;-;-
