Tabelle: 13111-54i
Sozialversicherungspflichtige Beschäftigte (Arbeitsort) nach;;;;;;;;;;;;;
Wirtschaftsabschnitte sowie Schul- und Berufsabschluss -;;;;;;;;;;;;;
kreisfreie Städte und Kreise - Stichtag (ab 2021);;;;;;;;;;;;;
Statistik der sozialversicherungspflichtig Beschäftigten;;;;;;;;;;;;;
Sozialversicherungspfl. Beschäftigte (Arbeitsort) (Anzahl);;;;;;;;;;;;;
;;;;Insgesamt;ohne Schulabschluss;mit Volks-/Haupschulabschluss;mit mittlerer Reife/gleichwertigem Abschluss;mit Abitur/Fachabitur;Abschluss unbekannt;ohne beruflichen Ausbildungsabschluss;mit anerkanntem Berufsabschluss;mit akademischem Abschluss;Ausbildung unbekannt
31.12.2024;    Düsseldorf, krfr. Stadt;L;Grundstücks- und Wohnungswesen;7635;133;566;1419;4606;911;859;3889;2101;786
31.12.2024;    Düsseldorf, krfr. Stadt;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;118412;2149;7449;16047;80164;12603;14841;41161;50820;11590
31.12.2024;    Düsseldorf, krfr. Stadt;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;102779;808;6285;24808;60351;10527;13265;54225;30452;4837
31.12.2024;    Düsseldorf, krfr. Stadt;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;18917;228;1333;3411;11599;2346;2098;8077;6831;1911
31.12.2024;    Düsseldorf, krfr. Stadt;;Insgesamt;458999;7641;34742;86146;268486;61984;59863;207416;147342;44378
31.12.2024;    Duisburg, krfr. Stadt;A;Land- und Forstwirtschaft, Fischerei;67;.;17;14;16;.;13;36;.;.
31.12.2024;    Duisburg, krfr. Stadt;B-F;Produzierendes Gewerbe;44745;.;8243;11472;13488;.;6684;29293;.;.
31.12.2024;    Duisburg, krfr. Stadt;B-E;Produzierendes Gewerbe ohne Baugewerbe;35752;541;5898;9244;12075;7994;4834;24520;4980;1418
31.12.2024;    Duisburg, krfr. Stadt;C;Verarbeitendes Gewerbe;32705;473;4788;8521;11051;7872;4460;22338;4598;1309
31.12.2024;    Duisburg, krfr. Stadt;F;Baugewerbe;8993;.;2345;2228;1413;.;1850;4773;.;.
31.12.2024;    Duisburg, krfr. Stadt;G-T;Dienstleistungsbereich;137297;4374;19823;35409;57565;20126;24583;75206;22548;14960
31.12.2024;    Duisburg, krfr. Stadt;G-I;Handel, Gastgewerbe, Verkehr;45804;1648;8939;11924;13825;9468;9025;24650;4038;8091
31.12.2024;    Duisburg, krfr. Stadt;J;Information und Kommunikation;2375;10;81;342;1585;357;231;936;941;267
31.12.2024;    Duisburg, krfr. Stadt;K;Erbringung von Finanz- und Versicherungsdienstleistungen;5555;8;173;1142;3378;854;645;3855;625;430
31.12.2024;    Duisburg, krfr. Stadt;L;Grundstücks- und Wohnungswesen;1447;22;151;347;679;248;141;861;237;208
31.12.2024;    Duisburg, krfr. Stadt;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;26860;1442;4919;5747;10861;3891;6130;12653;4517;3560
31.12.2024;    Duisburg, krfr. Stadt;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;49708;1142;4724;14599;24808;4435;7443;29525;11095;1645
31.12.2024;    Duisburg, krfr. Stadt;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;5548;102;836;1308;2429;873;968;2726;1095;759
31.12.2024;    Duisburg, krfr. Stadt;;Insgesamt;182109;5475;28083;46895;71069;30587;31280;104535;27859;18435
31.12.2024;    Essen, krfr. Stadt;A;Land- und Forstwirtschaft, Fischerei;156;5;19;46;43;43;32;73;9;42
31.12.2024;    Essen, krfr. Stadt;B-F;Produzierendes Gewerbe;39801;698;6637;9166;16440;6860;4792;21356;8670;4983
31.12.2024;    Essen, krfr. Stadt;B-E;Produzierendes Gewerbe ohne Baugewerbe;27278;308;3967;5770;13170;4063;2749;14228;7428;2873
31.12.2024;    Essen, krfr. Stadt;C;Verarbeitendes Gewerbe;15351;245;3296;4108;5338;2364;1896;10171;1960;1324
31.12.2024;    Essen, krfr. Stadt;F;Baugewerbe;12523;390;2670;3396;3270;2797;2043;7128;1242;2110
31.12.2024;    Essen, krfr. Stadt;G-T;Dienstleistungsbereich;231172;7050;24753;50339;118276;30754;37157;116386;53979;23650
31.12.2024;    Essen, krfr. Stadt;G-I;Handel, Gastgewerbe, Verkehr;56052;2081;8975;13914;19575;11507;10358;28710;7104;9880
31.12.2024;    Essen, krfr. Stadt;J;Information und Kommunikation;14365;36;547;2044;10376;1362;1378;6439;5500;1048
31.12.2024;    Essen, krfr. Stadt;K;Erbringung von Finanz- und Versicherungsdienstleistungen;6596;14;160;1208;4636;578;525;4350;1156;565
31.12.2024;    Essen, krfr. Stadt;L;Grundstücks- und Wohnungswesen;3286;67;300;721;1811;387;388;1999;597;302
31.12.2024;    Essen, krfr. Stadt;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;62344;2680;6693;10469;33270;9232;11009;26084;17541;7710
31.12.2024;    Essen, krfr. Stadt;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;77158;1934;6904;19442;42701;6177;11778;43685;18906;2789
31.12.2024;    Essen, krfr. Stadt;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;11371;238;1174;2541;5907;1511;1721;5119;3175;1356
31.12.2024;    Essen, krfr. Stadt;;Insgesamt;271129;7753;31409;59551;134759;37657;41981;137815;62658;28675
31.12.2024;    Krefeld, krfr. Stadt;A;Land- und Forstwirtschaft, Fischerei;249;21;37;40;46;105;39;85;17;108
31.12.2024;    Krefeld, krfr. Stadt;B-F;Produzierendes Gewerbe;26752;508;5623;7814;9240;3567;3297;17925;3687;1843
31.12.2024;    Krefeld, krfr. Stadt;B-E;Produzierendes Gewerbe ohne Baugewerbe;22816;393;4625;6656;8425;2717;2620;15507;3450;1239
31.12.2024;    Krefeld, krfr. Stadt;C;Verarbeitendes Gewerbe;20618;341;4285;6186;7469;2337;2292;14204;2965;1157
31.12.2024;    Krefeld, krfr. Stadt;F;Baugewerbe;3936;115;998;1158;815;850;677;2418;237;604
31.12.2024;    Krefeld, krfr. Stadt;G-T;Dienstleistungsbereich;69596;2288;9197;17183;31131;9797;11147;38568;13138;6743
31.12.2024;    Krefeld, krfr. Stadt;G-I;Handel, Gastgewerbe, Verkehr;23669;780;4149;6239;7668;4833;4502;13224;2569;3374
31.12.2024;    Krefeld, krfr. Stadt;J;Information und Kommunikation;1420;5;36;314;951;114;192;756;369;103
31.12.2024;    Krefeld, krfr. Stadt;K;Erbringung von Finanz- und Versicherungsdienstleistungen;1907;7;63;343;1334;160;159;1440;227;81
31.12.2024;    Krefeld, krfr. Stadt;L;Grundstücks- und Wohnungswesen;755;29;76;181;326;143;126;403;109;117
31.12.2024;    Krefeld, krfr. Stadt;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;13326;765;1592;3108;6395;1466;2574;6455;3088;1209
31.12.2024;    Krefeld, krfr. Stadt;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;24601;574;2634;6091;12773;2529;2928;14209;6064;1400
31.12.2024;    Krefeld, krfr. Stadt;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;3918;128;647;907;1684;552;666;2081;712;459
31.12.2024;    Krefeld, krfr. Stadt;;Insgesamt;96597;2817;14857;25037;40417;13469;14483;56578;16842;8694
31.12.2024;    Mönchengladbach, krfr. Stadt;A;Land- und Forstwirtschaft, Fischerei;115;7;20;29;19;40;23;64;.;.
31.12.2024;    Mönchengladbach, krfr. Stadt;B-F;Produzierendes Gewerbe;22766;445;4367;6175;8854;2925;3202;13843;.;.
31.12.2024;    Mönchengladbach, krfr. Stadt;B-E;Produzierendes Gewerbe ohne Baugewerbe;16732;252;3025;4439;7415;1601;2163;10341;3431;797
31.12.2024;    Mönchengladbach, krfr. Stadt;C;Verarbeitendes Gewerbe;15306;188;2742;4053;6832;1491;1899;9401;3262;744
31.12.2024;    Mönchengladbach, krfr. Stadt;F;Baugewerbe;6034;193;1342;1736;1439;1324;1039;3502;.;.
31.12.2024;    Mönchengladbach, krfr. Stadt;G-T;Dienstleistungsbereich;84232;3130;11846;21524;34829;12903;15999;45283;13057;9893
31.12.2024;    Mönchengladbach, krfr. Stadt;G-I;Handel, Gastgewerbe, Verkehr;27769;1773;5481;7359;7380;5776;6892;13948;2036;4893
