Tabelle: 13111-54i
Sozialversicherungspflichtige Beschäftigte (Arbeitsort) nach;;;;;;;;;;;;;
Wirtschaftsabschnitte sowie Schul- und Berufsabschluss -;;;;;;;;;;;;;
kreisfreie Städte und Kreise - Stichtag (ab 2021);;;;;;;;;;;;;
Statistik der sozialversicherungspflichtig Beschäftigten;;;;;;;;;;;;;
Sozialversicherungspfl. Beschäftigte (Arbeitsort) (Anzahl);;;;;;;;;;;;;
;;;;Insgesamt;ohne Schulabschluss;mit Volks-/Haupschulabschluss;mit mittlerer Reife/gleichwertigem Abschluss;mit Abitur/Fachabitur;Abschluss unbekannt;ohne beruflichen Ausbildungsabschluss;mit anerkanntem Berufsabschluss;mit akademischem Abschluss;Ausbildung unbekannt
31.12.2024;    Wuppertal, krfr. Stadt;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;18333;607;2560;3753;8702;2711;3485;8736;4165;1947
31.12.2024;    Wuppertal, krfr. Stadt;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;41612;762;4001;10582;21579;4688;6265;22716;10287;2344
31.12.2024;    Wuppertal, krfr. Stadt;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;4144;206;635;761;1854;688;895;1710;931;608
31.12.2024;    Wuppertal, krfr. Stadt;;Insgesamt;132936;3693;20176;33353;57378;18336;24047;72630;24010;12249
31.12.2024;    Kleve, Kreis;A;Land- und Forstwirtschaft, Fischerei;3942;169;823;789;483;1678;676;1708;135;1423
31.12.2024;    Kleve, Kreis;B-F;Produzierendes Gewerbe;25139;601;6466;7539;6674;3859;3732;16771;2182;2454
31.12.2024;    Kleve, Kreis;B-E;Produzierendes Gewerbe ohne Baugewerbe;17769;371;4236;5295;5366;2501;2441;11753;1879;1696
31.12.2024;    Kleve, Kreis;C;Verarbeitendes Gewerbe;16190;338;3741;4785;4971;2355;2275;10556;1759;1600
31.12.2024;    Kleve, Kreis;F;Baugewerbe;7370;230;2230;2244;1308;1358;1291;5018;303;758
31.12.2024;    Kleve, Kreis;G-T;Dienstleistungsbereich;78670;1809;13362;22000;28180;13319;11817;47507;9872;9474
31.12.2024;    Kleve, Kreis;G-I;Handel, Gastgewerbe, Verkehr;27177;623;6266;8434;6783;5071;4433;17074;1694;3976
31.12.2024;    Kleve, Kreis;J;Information und Kommunikation;844;11;73;198;488;74;101;516;172;55
31.12.2024;    Kleve, Kreis;K;Erbringung von Finanz- und Versicherungsdienstleistungen;1811;3;54;292;1191;271;145;1369;181;116
31.12.2024;    Kleve, Kreis;L;Grundstücks- und Wohnungswesen;639;7;81;165;291;95;62;441;67;69
31.12.2024;    Kleve, Kreis;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;12469;718;2121;2685;4304;2641;2465;6098;1540;2366
31.12.2024;    Kleve, Kreis;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;32231;332;4012;9222;14057;4608;4076;19879;5796;2480
31.12.2024;    Kleve, Kreis;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;3499;115;755;1004;1066;559;535;2130;422;412
31.12.2024;    Kleve, Kreis;;Insgesamt;107751;2579;20651;30328;35337;18856;16225;65986;12189;13351
31.12.2024;    Mettmann, Kreis;A;Land- und Forstwirtschaft, Fischerei;514;15;65;108;184;142;78;224;98;114
31.12.2024;    Mettmann, Kreis;B-F;Produzierendes Gewerbe;53751;1563;11116;14328;18300;8444;8545;31534;8190;5482
31.12.2024;    Mettmann, Kreis;B-E;Produzierendes Gewerbe ohne Baugewerbe;42260;1140;8837;11085;15596;5602;6461;25192;7284;3323
31.12.2024;    Mettmann, Kreis;C;Verarbeitendes Gewerbe;39519;1114;8427;10105;14510;5363;6195;23314;6809;3201
31.12.2024;    Mettmann, Kreis;F;Baugewerbe;11491;423;2279;3243;2704;2842;2084;6342;906;2159
31.12.2024;    Mettmann, Kreis;G-T;Dienstleistungsbereich;149889;3230;18166;37779;68497;22217;20574;81211;31488;16616
31.12.2024;    Mettmann, Kreis;G-I;Handel, Gastgewerbe, Verkehr;54371;1821;8530;14536;19374;10110;8999;29350;7359;8663
31.12.2024;    Mettmann, Kreis;J;Information und Kommunikation;8897;33;285;1158;6710;711;697;3577;4079;544
31.12.2024;    Mettmann, Kreis;K;Erbringung von Finanz- und Versicherungsdienstleistungen;3216;7;64;443;1920;782;169;2203;724;120
31.12.2024;    Mettmann, Kreis;L;Grundstücks- und Wohnungswesen;2530;30;220;704;1334;242;175;1712;429;214
31.12.2024;    Mettmann, Kreis;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;34752;785;4391;8716;16832;4028;4467;17998;8877;3410
31.12.2024;    Mettmann, Kreis;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;40755;425;3906;10865;20145;5414;5137;23619;9078;2921
31.12.2024;    Mettmann, Kreis;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;5368;129;770;1357;2182;930;930;2752;942;744
31.12.2024;    Mettmann, Kreis;;Insgesamt;204155;4808;29347;52216;86981;30803;29197;112970;39776;22212
31.12.2024;    Rhein-Kreis Neuss;A;Land- und Forstwirtschaft, Fischerei;1340;152;162;157;160;709;258;325;49;708
31.12.2024;    Rhein-Kreis Neuss;B-F;Produzierendes Gewerbe;39883;668;7479;11140;13663;6933;5458;25071;6031;3323
31.12.2024;    Rhein-Kreis Neuss;B-E;Produzierendes Gewerbe ohne Baugewerbe;31600;398;5502;8470;11888;5342;3940;20088;5538;2034
31.12.2024;    Rhein-Kreis Neuss;C;Verarbeitendes Gewerbe;26560;319;4444;6605;10120;5072;3387;16591;4943;1639
31.12.2024;    Rhein-Kreis Neuss;F;Baugewerbe;8283;270;1977;2670;1775;1591;1518;4983;493;1289
31.12.2024;    Rhein-Kreis Neuss;G-T;Dienstleistungsbereich;119582;3121;16796;31688;50276;17701;19455;65534;20509;14084
31.12.2024;    Rhein-Kreis Neuss;G-I;Handel, Gastgewerbe, Verkehr;46069;1536;8219;12694;14927;8693;8631;25153;5358;6927
31.12.2024;    Rhein-Kreis Neuss;J;Information und Kommunikation;2998;13;116;575;2038;256;333;1467;964;234
31.12.2024;    Rhein-Kreis Neuss;K;Erbringung von Finanz- und Versicherungsdienstleistungen;4697;9;89;978;3452;169;327;3286;953;131
31.12.2024;    Rhein-Kreis Neuss;L;Grundstücks- und Wohnungswesen;1315;13;210;310;607;175;158;788;223;146
31.12.2024;    Rhein-Kreis Neuss;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;19613;902;2755;4133;8913;2910;3945;8597;4343;2728
31.12.2024;    Rhein-Kreis Neuss;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;38802;510;4539;11371;18004;4378;5043;22848;7830;3081
31.12.2024;    Rhein-Kreis Neuss;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;6088;138;868;1627;2335;1120;1018;3395;838;837
31.12.2024;    Rhein-Kreis Neuss;;Insgesamt;160805;3941;24437;42985;64099;25343;25171;90930;26589;18115
31.12.2024;    Viersen, Kreis;A;Land- und Forstwirtschaft, Fischerei;1383;59;248;289;253;534;256;573;73;481
31.12.2024;    Viersen, Kreis;B-F;Produzierendes Gewerbe;26667;809;6723;8046;7113;3976;4533;16930;2336;2868
31.12.2024;    Viersen, Kreis;B-E;Produzierendes Gewerbe ohne Baugewerbe;19874;587;4949;5962;5773;2603;3245;12750;1996;1883
31.12.2024;    Viersen, Kreis;C;Verarbeitendes Gewerbe;18241;553;4488;5465;5326;2409;3010;11663;1894;1674
31.12.2024;    Viersen, Kreis;F;Baugewerbe;6793;222;1774;2084;1340;1373;1288;4180;340;985
31.12.2024;    Viersen, Kreis;G-T;Dienstleistungsbereich;69919;2687;10712;19519;26832;10169;11093;40700;9495;8631
31.12.2024;    Viersen, Kreis;G-I;Handel, Gastgewerbe, Verkehr;26062;854;5285;7427;7087;5409;4878;14741;2004;4439
31.12.2024;    Viersen, Kreis;J;Information und Kommunikation;1463;8;100;258;929;168;205;687;418;153
31.12.2024;    Viersen, Kreis;K;Erbringung von Finanz- und Versicherungsdienstleistungen;1116;5;32;229;760;90;55;894;105;62
31.12.2024;    Viersen, Kreis;L;Grundstücks- und Wohnungswesen;672;6;88;172;325;81;75;441;91;65
31.12.2024;    Viersen, Kreis;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;11423;855;1859;2702;4306;1701;2673;5624;1544;1582
31.12.2024;    Viersen, Kreis;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;25922;901;2785;7637;12348;2251;2690;16283;5030;1919
31.12.2024;    Viersen, Kreis;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;3261;58;563;1094;1077;469;517;2030;303;411
31.12.2024;    Viersen, Kreis;;Insgesamt;97971;3555;17683;27854;34199;14680;15882;58204;11904;11981
31.12.2024;    Wesel, Kreis;A;Land- und Forstwirtschaft, Fischerei;952;31;212;258;172;279;180;481;50;241
31.12.2024;    Wesel, Kreis;B-F;Produzierendes Gewerbe;37299;671;8735;11675;11126;5092;4660;25015;4023;3601
31.12.2024;    Wesel, Kreis;B-E;Produzierendes Gewerbe ohne Baugewerbe;27160;350;6011;8734;9410;2655;2983;18877;3630;1670
31.12.2024;    Wesel, Kreis;C;Verarbeitendes Gewerbe;22877;309;5058;7355;7903;2252;2569;15751;3108;1449
31.12.2024;    Wesel, Kreis;F;Baugewerbe;10139;321;2724;2941;1716;2437;1677;6138;393;1931
31.12.2024;    Wesel, Kreis;G-T;Dienstleistungsbereich;109819;3139;17439;32688;41297;15256;17760;67483;13641;10935
31.12.2024;    Wesel, Kreis;G-I;Handel, Gastgewerbe, Verkehr;37464;1497;8384;11500;9219;6864;7487;22339;2100;5538
31.12.2024;    Wesel, Kreis;J;Information und Kommunikation;3299;12;157;658;2156;316;352;1907;894;146
31.12.2024;    Wesel, Kreis;K;Erbringung von Finanz- und Versicherungsdienstleistungen;2497;7;70;452;1829;139;192;1956;256;93
31.12.2024;    Wesel, Kreis;L;Grundstücks- und Wohnungswesen;854;7;93;225;419;110;85;585;90;94
31.12.2024;    Wesel, Kreis;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;16190;725;2791;4474;6243;1957;3043;9266;2157;1724
31.12.2024;    Wesel, Kreis;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;45612;779;5172;14285;20243;5133;5925;29116;7750;2821
31.12.2024;    Wesel, Kreis;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;3903;112;772;1094;1188;737;676;2314;394;519
31.12.2024;    Wesel, Kreis;;Insgesamt;148070;3841;26386;44621;52595;20627;22600;92979;17714;14777
31.12.2024;  Köln, Regierungsbezirk;A;Land- und Forstwirtschaft, Fischerei;4968;192;897;1245;1118;1516;963;2243;366;1396
31.12.2024;  Köln, Regierungsbezirk;B-F;Produzierendes Gewerbe;361362;11696;75145;105111;122674;46736;55873;220936;55234;29319
31.12.2024;  Köln, Regierungsbezirk;B-E;Produzierendes Gewerbe ohne Baugewerbe;274673;8722;53391;78385;104719;29456;38980;169720;50035;15938
31.12.2024;  Köln, Regierungsbezirk;C;Verarbeitendes Gewerbe;242716;8235;47571;67943;91382;27585;35520;149361;43473;14362
31.12.2024;  Köln, Regierungsbezirk;F;Baugewerbe;86689;2974;21754;26726;17955;17280;16893;51216;5199;13381
31.12.2024;  Köln, Regierungsbezirk;G-T;Dienstleistungsbereich;1500330;34720;160808;338406;775885;190511;228523;738744;388328;144735
31.12.2024;  Köln, Regierungsbezirk;G-I;Handel, Gastgewerbe, Verkehr;403569;13849;70788;112366;129648;76918;83219;215560;41158;63632
31.12.2024;  Köln, Regierungsbezirk;J;Information und Kommunikation;105096;274;1386;10553;81181;11702;10222;32967;50793;11114
31.12.2024;  Köln, Regierungsbezirk;K;Erbringung von Finanz- und Versicherungsdienstleistungen;62783;159;1185;10945;47358;3136;4313;38036;17561;2873
31.12.2024;  Köln, Regierungsbezirk;L;Grundstücks- und Wohnungswesen;16815;141;1592;3766;9321;1995;1803;9586;3631;1795
31.12.2024;  Köln, Regierungsbezirk;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;313126;8679;31701;55500;179985;37261;47537;128287;104576;32726
31.12.2024;  Köln, Regierungsbezirk;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;517496;10415;46221;129351;281917;49592;69881;278762;144254;24599
31.12.2024;  Köln, Regierungsbezirk;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;81445;1203;7935;15925;46475;9907;11548;35546;26355;7996
31.12.2024;  Köln, Regierungsbezirk;;Insgesamt;1866665;46610;236851;444762;899677;238765;285361;961924;443929;175451
31.12.2024;    Aachen, krfr. Stadt;A;Land- und Forstwirtschaft, Fischerei;-;-;-;-;-;-;-;-;-;-
31.12.2024;    Aachen, krfr. Stadt;B-F;Produzierendes Gewerbe;-;-;-;-;-;-;-;-;-;-
31.12.2024;    Aachen, krfr. Stadt;B-E;Produzierendes Gewerbe ohne Baugewerbe;-;-;-;-;-;-;-;-;-;-
31.12.2024;    Aachen, krfr. Stadt;C;Verarbeitendes Gewerbe;-;-;-;-;-;-;-;-;-;-
31.12.2024;    Aachen, krfr. Stadt;F;Baugewerbe;-;-;-;-;-;-;-;-;-;-
31.12.2024;    Aachen, krfr. Stadt;G-T;Dienstleistungsbereich;-;-;-;-;-;-;-;-;-;-
31.12.2024;    Aachen, krfr. Stadt;G-I;Handel, Gastgewerbe, Verkehr;-;-;-;-;-;-;-;-;-;-
31.12.2024;    Aachen, krfr. Stadt;J;Information und Kommunikation;-;-;-;-;-;-;-;-;-;-
31.12.2024;    Aachen, krfr. Stadt;K;Erbringung von Finanz- und Versicherungsdienstleistungen;-;-;-;-;-;-;-;-;-;-
31.12.2024;    Aachen, krfr. Stadt;L;Grundstücks- und Wohnungswesen;-;-;-;-;-;-;-;-;-;-
31.12.2024;    Aachen, krfr. Stadt;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;-;-;-;-;-;-;-;-;-;-
31.12.2024;    Aachen, krfr. Stadt;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;-;-;-;-;-;-;-;-;-;-
31.12.2024;    Aachen, krfr. Stadt;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;-;-;-;-;-;-;-;-;-;-
31.12.2024;    Aachen, krfr. Stadt;;Insgesamt;-;-;-;-;-;-;-;-;-;-
31.12.2024;    Bonn, krfr. Stadt;A;Land- und Forstwirtschaft, Fischerei;127;.;.;18;77;22;10;32;.;.
31.12.2024;    Bonn, krfr. Stadt;B-F;Produzierendes Gewerbe;12233;.;.;3739;4090;1968;2095;7302;.;.
31.12.2024;    Bonn, krfr. Stadt;B-E;Produzierendes Gewerbe ohne Baugewerbe;8388;101;1286;2526;3300;1175;1217;5125;1603;443
31.12.2024;    Bonn, krfr. Stadt;C;Verarbeitendes Gewerbe;7380;96;1170;2019;2936;1159;1144;4356;1457;423
31.12.2024;    Bonn, krfr. Stadt;F;Baugewerbe;3845;.;.;1213;790;793;878;2177;.;.
31.12.2024;    Bonn, krfr. Stadt;G-T;Dienstleistungsbereich;184357;2744;12421;33348;114050;21794;22124;75920;68690;17623
31.12.2024;    Bonn, krfr. Stadt;G-I;Handel, Gastgewerbe, Verkehr;28519;928;4657;7840;10216;4878;6198;14272;3519;4530
31.12.2024;    Bonn, krfr. Stadt;J;Information und Kommunikation;21968;14;143;2300;16571;2940;1472;6362;11144;2990
31.12.2024;    Bonn, krfr. Stadt;K;Erbringung von Finanz- und Versicherungsdienstleistungen;4934;6;87;552;3726;563;238;2649;1298;749
31.12.2024;    Bonn, krfr. Stadt;L;Grundstücks- und Wohnungswesen;1731;8;104;382;1067;170;140;842;526;223
31.12.2024;    Bonn, krfr. Stadt;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;36399;956;2221;5631;23040;4551;4431;11314;15255;5399
31.12.2024;    Bonn, krfr. Stadt;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;73284;734;4436;14372;46464;7278;8250;34619;27755;2660
31.12.2024;    Bonn, krfr. Stadt;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;17522;98;773;2271;12966;1414;1395;5862;9193;1072
31.12.2024;    Bonn, krfr. Stadt;;Insgesamt;196717;3024;14587;37105;118217;23784;24229;83254;70559;18675
31.12.2024;    Köln, krfr. Stadt;A;Land- und Forstwirtschaft, Fischerei;197;7;26;50;63;51;30;95;25;47
31.12.2024;    Köln, krfr. Stadt;B-F;Produzierendes Gewerbe;79914;5377;12446;18456;33371;10264;11068;44178;18390;6278
31.12.2024;    Köln, krfr. Stadt;B-E;Produzierendes Gewerbe ohne Baugewerbe;59687;4737;8283;12876;28132;5659;7452;33279;16360;2596
31.12.2024;    Köln, krfr. Stadt;C;Verarbeitendes Gewerbe;49840;4609;6616;10330;23098;5187;6233;27898;13504;2205
31.12.2024;    Köln, krfr. Stadt;F;Baugewerbe;20227;640;4163;5580;5239;4605;3616;10899;2030;3682
31.12.2024;    Köln, krfr. Stadt;G-T;Dienstleistungsbereich;553195;12238;47179;100906;322977;69895;82423;243991;171421;55360
31.12.2024;    Köln, krfr. Stadt;G-I;Handel, Gastgewerbe, Verkehr;144910;5920;21552;35020;54769;27649;31116;68981;20276;24537
31.12.2024;    Köln, krfr. Stadt;J;Information und Kommunikation;56069;133;643;4674;44096;6523;5792;16144;27969;6164
31.12.2024;    Köln, krfr. Stadt;K;Erbringung von Finanz- und Versicherungsdienstleistungen;39651;122;509;6637;30701;1682;2538;21709;13894;1510
31.12.2024;    Köln, krfr. Stadt;L;Grundstücks- und Wohnungswesen;8126;48;638;1650;4946;844;824;4520;2056;726
31.12.2024;    Köln, krfr. Stadt;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;131315;2844;10949;20336;81982;15204;19019;50637;49169;12490
31.12.2024;    Köln, krfr. Stadt;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;146896;2808;10821;28686;90001;14580;19464;72059;48296;7077
31.12.2024;    Köln, krfr. Stadt;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;26228;363;2067;3903;16482;3413;3670;9941;9761;2856
31.12.2024;    Köln, krfr. Stadt;;Insgesamt;633306;17622;59651;119412;356411;80210;93521;288264;189836;61685
31.12.2024;    Leverkusen, krfr. Stadt;A;Land- und Forstwirtschaft, Fischerei;37;.;.;10;8;8;5;24;.;.
31.12.2024;    Leverkusen, krfr. Stadt;B-F;Produzierendes Gewerbe;18432;.;.;4868;8299;2292;2020;10973;.;.
31.12.2024;    Leverkusen, krfr. Stadt;B-E;Produzierendes Gewerbe ohne Baugewerbe;14938;108;1951;3985;7533;1361;1306;9181;4073;378
31.12.2024;    Leverkusen, krfr. Stadt;C;Verarbeitendes Gewerbe;13888;97;1806;3483;7158;1344;1209;8398;3918;363
31.12.2024;    Leverkusen, krfr. Stadt;F;Baugewerbe;3494;.;.;883;766;931;714;1792;.;.
31.12.2024;    Leverkusen, krfr. Stadt;G-T;Dienstleistungsbereich;49118;998;6140;12355;23200;6425;7593;26442;10532;4551
31.12.2024;    Leverkusen, krfr. Stadt;G-I;Handel, Gastgewerbe, Verkehr;12673;473;2259;3679;3657;2605;2666;6940;953;2114
31.12.2024;    Leverkusen, krfr. Stadt;J;Information und Kommunikation;1118;.;.;200;753;111;116;519;379;104
31.12.2024;    Leverkusen, krfr. Stadt;K;Erbringung von Finanz- und Versicherungsdienstleistungen;1782;.;.;457;1089;81;160;1155;375;92
31.12.2024;    Leverkusen, krfr. Stadt;L;Grundstücks- und Wohnungswesen;474;4;66;119;227;58;66;301;61;46
31.12.2024;    Leverkusen, krfr. Stadt;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;12738;208;1427;2543;7382;1178;1505;6189;4243;801
31.12.2024;    Leverkusen, krfr. Stadt;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;18053;213;1888;4785;9124;2043;2572;10234;4167;1080
31.12.2024;    Leverkusen, krfr. Stadt;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;2280;91;300;572;968;349;508;1104;354;314
31.12.2024;    Leverkusen, krfr. Stadt;;Insgesamt;67587;1283;8839;17233;31507;8725;9618;37439;14859;5671
31.12.2024;    Städteregion Aachen (einschl. Stadt Aachen);A;Land- und Forstwirtschaft, Fischerei;378;9;67;119;71;112;79;195;19;85
31.12.2024;    Städteregion Aachen (einschl. Stadt Aachen);B-F;Produzierendes Gewerbe;48088;1119;9538;12797;19032;5602;7586;27811;8812;3879
31.12.2024;    Städteregion Aachen (einschl. Stadt Aachen);B-E;Produzierendes Gewerbe ohne Baugewerbe;38786;831;7227;9775;16919;4034;5644;22114;8251;2777
31.12.2024;    Städteregion Aachen (einschl. Stadt Aachen);C;Verarbeitendes Gewerbe;34804;786;6519;8538;15127;3834;5272;19629;7337;2566
31.12.2024;    Städteregion Aachen (einschl. Stadt Aachen);F;Baugewerbe;9302;288;2311;3022;2113;1568;1942;5697;561;1102
31.12.2024;    Städteregion Aachen (einschl. Stadt Aachen);G-T;Dienstleistungsbereich;181184;4440;18546;38524;98857;20817;31184;87517;48111;14372
31.12.2024;    Städteregion Aachen (einschl. Stadt Aachen);G-I;Handel, Gastgewerbe, Verkehr;45434;1366;8310;12586;14472;8700;10069;24588;3731;7046
31.12.2024;    Städteregion Aachen (einschl. Stadt Aachen);J;Information und Kommunikation;13527;.;.;1153;11159;978;1433;4084;7160;850
31.12.2024;    Städteregion Aachen (einschl. Stadt Aachen);K;Erbringung von Finanz- und Versicherungsdienstleistungen;3571;.;.;626;2747;129;304;2703;462;102
31.12.2024;    Städteregion Aachen (einschl. Stadt Aachen);L;Grundstücks- und Wohnungswesen;1611;22;182;337;828;242;203;960;258;190
31.12.2024;    Städteregion Aachen (einschl. Stadt Aachen);M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;32196;1118;3086;5074;20163;2755;5921;12578;11266;2431
31.12.2024;    Städteregion Aachen (einschl. Stadt Aachen);O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;74252;1724;5699;16480;43309;7040;11447;37731;22117;2957
31.12.2024;    Städteregion Aachen (einschl. Stadt Aachen);R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;10593;150;1023;2268;6179;973;1807;4873;3117;796
31.12.2024;    Städteregion Aachen (einschl. Stadt Aachen);;Insgesamt;229651;5569;28151;51440;117960;26531;38849;115523;56943;18336
31.12.2024;    Aachen, Kreis;A;Land- und Forstwirtschaft, Fischerei;-;-;-;-;-;-;-;-;-;-
31.12.2024;    Aachen, Kreis;B-F;Produzierendes Gewerbe;-;-;-;-;-;-;-;-;-;-
31.12.2024;    Aachen, Kreis;B-E;Produzierendes Gewerbe ohne Baugewerbe;-;-;-;-;-;-;-;-;-;-
31.12.2024;    Aachen, Kreis;C;Verarbeitendes Gewerbe;-;-;-;-;-;-;-;-;-;-
31.12.2024;    Aachen, Kreis;F;Baugewerbe;-;-;-;-;-;-;-;-;-;-
31.12.2024;    Aachen, Kreis;G-T;Dienstleistungsbereich;-;-;-;-;-;-;-;-;-;-
31.12.2024;    Aachen, Kreis;G-I;Handel, Gastgewerbe, Verkehr;-;-;-;-;-;-;-;-;-;-
31.12.2024;    Aachen, Kreis;J;Information und Kommunikation;-;-;-;-;-;-;-;-;-;-
31.12.2024;    Aachen, Kreis;K;Erbringung von Finanz- und Versicherungsdienstleistungen;-;-;-;-;-;-;-;-;-;-
31.12.2024;    Aachen, Kreis;L;Grundstücks- und Wohnungswesen;-;-;-;-;-;-;-;-;-;-
31.12.2024;    Aachen, Kreis;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;-;-;-;-;-;-;-;-;-;-
31.12.2024;    Aachen, Kreis;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;-;-;-;-;-;-;-;-;-;-
31.12.2024;    Aachen, Kreis;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;-;-;-;-;-;-;-;-;-;-
31.12.2024;    Aachen, Kreis;;Insgesamt;-;-;-;-;-;-;-;-;-;-
31.12.2024;    Düren, Kreis;A;Land- und Forstwirtschaft, Fischerei;546;25;86;139;115;181;109;240;29;168
31.12.2024;    Düren, Kreis;B-F;Produzierendes Gewerbe;25100;527;5784;8256;7173;3360;3981;16540;2583;1996
31.12.2024;    Düren, Kreis;B-E;Produzierendes Gewerbe ohne Baugewerbe;19536;311;4210;6557;6108;2350;2836;13198;2310;1192
31.12.2024;    Düren, Kreis;C;Verarbeitendes Gewerbe;15899;236;3535;5208;4799;2121;2500;10678;1769;952
31.12.2024;    Düren, Kreis;F;Baugewerbe;5564;216;1574;1699;1065;1010;1145;3342;273;804
31.12.2024;    Düren, Kreis;G-T;Dienstleistungsbereich;65232;1599;10288;17393;27074;8878;11185;35859;11811;6377
31.12.2024;    Düren, Kreis;G-I;Handel, Gastgewerbe, Verkehr;16140;512;3308;5016;3869;3435;3283;9311;831;2715
31.12.2024;    Düren, Kreis;J;Information und Kommunikation;739;.;.;162;482;75;109;404;161;65
31.12.2024;    Düren, Kreis;K;Erbringung von Finanz- und Versicherungsdienstleistungen;1439;.;.;299;975;76;102;1162;127;48
31.12.2024;    Düren, Kreis;L;Grundstücks- und Wohnungswesen;403;6;62;97;183;55;33;239;72;59
31.12.2024;    Düren, Kreis;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;18130;792;2718;2866;8888;2866;3238;7092;5485;2315
31.12.2024;    Düren, Kreis;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;25287;219;3540;8006;11505;2017;3851;15810;4766;860
31.12.2024;    Düren, Kreis;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;3094;66;555;947;1172;354;569;1841;369;315
31.12.2024;    Düren, Kreis;;Insgesamt;90880;2151;16159;25788;34362;12420;15276;52640;14423;8541
31.12.2024;    Rhein-Erft-Kreis;A;Land- und Forstwirtschaft, Fischerei;630;13;111;128;109;269;99;242;33;256
31.12.2024;    Rhein-Erft-Kreis;B-F;Produzierendes Gewerbe;38441;918;9273;11728;11632;4890;5838;23944;5020;3639
31.12.2024;    Rhein-Erft-Kreis;B-E;Produzierendes Gewerbe ohne Baugewerbe;28517;541;6469;8722;9850;2935;3972;17968;4565;2012
31.12.2024;    Rhein-Erft-Kreis;C;Verarbeitendes Gewerbe;22878;448;5428;6805;7634;2563;3503;14360;3408;1607
31.12.2024;    Rhein-Erft-Kreis;F;Baugewerbe;9924;377;2804;3006;1782;1955;1866;5976;455;1627
31.12.2024;    Rhein-Erft-Kreis;G-T;Dienstleistungsbereich;112146;2685;17092;30984;43992;17393;18710;61968;17843;13625
31.12.2024;    Rhein-Erft-Kreis;G-I;Handel, Gastgewerbe, Verkehr;43205;1440;8485;12507;12095;8678;8558;24136;3638;6873
31.12.2024;    Rhein-Erft-Kreis;J;Information und Kommunikation;3729;19;113;640;2502;455;434;1683;1199;413
31.12.2024;    Rhein-Erft-Kreis;K;Erbringung von Finanz- und Versicherungsdienstleistungen;2116;5;42;450;1478;141;205;1554;263;94
