Tabelle: 22161-08i
Empfänger/-innen von Eingliederungshilfe nach Alter (6),;;;;;;;;;;
Leistungsart (5) und Träger (2) - Region - Stichtag;;;;;;;;;;
(Trägerprinzip);;;;;;;;;;
Statistik der Empfänger/-innen von Eingliederungshilfe nach dem SGB IX;;;;;;;;;;
;;;;Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip)
;;;;Insgesamt;unter 7 Jahre;7 bis unter 18 Jahre;18 bis unter 25 Jahre;25 bis unter 50 Jahre;50 bis unter 65 Jahre;65 Jahre und mehr
;;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
31.12.2024;Nordrhein-Westfalen;Kreise und kreisfreie Städte (inkl. Delegation);Sonstige Leistungen der Eingliederungshilfe;50;5;35;5;-;-;-
31.12.2024;Nordrhein-Westfalen;Kreise und kreisfreie Städte (inkl. Delegation);Insgesamt;16845;930;12975;730;660;730;820
31.12.2024;Nordrhein-Westfalen;Landschaftsverband (ohne Delegation);Leistungen zur medizinischen Rehabilitation;13120;12740;160;40;165;15;-
31.12.2024;Nordrhein-Westfalen;Landschaftsverband (ohne Delegation);Leistungen zur Teilhabe am Arbeitsleben;70445;-;-;5965;41800;21585;1090
31.12.2024;Nordrhein-Westfalen;Landschaftsverband (ohne Delegation);Leistungen zur Teilhabe an Bildung;1525;10;905;540;70;-;-
31.12.2024;Nordrhein-Westfalen;Landschaftsverband (ohne Delegation);Leistungen zur Sozialen Teilhabe;162045;34245;540;6490;59590;44780;16400
31.12.2024;Nordrhein-Westfalen;Landschaftsverband (ohne Delegation);Sonstige Leistungen der Eingliederungshilfe;3445;70;925;790;1105;355;200
31.12.2024;Nordrhein-Westfalen;Landschaftsverband (ohne Delegation);Insgesamt;201735;39195;2440;11610;79290;52400;16790
31.12.2024;Nordrhein-Westfalen;Insgesamt;Leistungen zur medizinischen Rehabilitation;13190;12740;195;40;165;20;30
31.12.2024;Nordrhein-Westfalen;Insgesamt;Leistungen zur Teilhabe am Arbeitsleben;70445;-;-;5965;41800;21585;1090
31.12.2024;Nordrhein-Westfalen;Insgesamt;Leistungen zur Teilhabe an Bildung;15595;855;13510;1145;80;-;-
31.12.2024;Nordrhein-Westfalen;Insgesamt;Leistungen zur Sozialen Teilhabe;165015;34335;1125;6625;60235;45500;17190
31.12.2024;Nordrhein-Westfalen;Insgesamt;Sonstige Leistungen der Eingliederungshilfe;3490;75;960;795;1105;355;200
31.12.2024;Nordrhein-Westfalen;Insgesamt;Insgesamt;218580;40130;15420;12340;79950;53130;17610
31.12.2023;Rheinland;Kreise und kreisfreie Städte (inkl. Delegation);Leistungen zur medizinischen Rehabilitation;85;10;55;0;0;0;15
31.12.2023;Rheinland;Kreise und kreisfreie Städte (inkl. Delegation);Leistungen zur Teilhabe am Arbeitsleben;45;-;0;5;25;10;-
31.12.2023;Rheinland;Kreise und kreisfreie Städte (inkl. Delegation);Leistungen zur Teilhabe an Bildung;6780;345;6065;320;45;5;-
31.12.2023;Rheinland;Kreise und kreisfreie Städte (inkl. Delegation);Leistungen zur Sozialen Teilhabe;1870;50;290;70;385;505;575
