;;;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe
;;;Insgesamt;Insgesamt;Hilfe zur Erziehung § 27 SGB VIII;Hilfe zur Erziehung § 27 SGB VIII;Erziehungsberatung § 28 SGB VIII;Erziehungsberatung § 28 SGB VIII;Soziale Gruppenarbeit § 29 SGB VIII;Soziale Gruppenarbeit § 29 SGB VIII;Einzelbetreuung § 30 SGB VIII;Einzelbetreuung § 30 SGB VIII;Sozialpädagogische Familienhilfe § 31 SGB VIII;Sozialpädagogische Familienhilfe § 31 SGB VIII;Erziehung in einer Tagesgruppe § 32 SGB VIII;Erziehung in einer Tagesgruppe § 32 SGB VIII;Vollzeitpflege § 33 SGB VIII;Vollzeitpflege § 33 SGB VIII;Heimerziehung, sonstige betreute Wohnform § 34 SGB VII;Heimerziehung, sonstige betreute Wohnform § 34 SGB VII;Intensive sozialpädagogische Einzelbetreuung § 35 SGB VIII;Intensive sozialpädagogische Einzelbetreuung § 35 SGB VIII;Eingliederungshilfe für seelisch behinderte junge Menschen § 35a SGB VIII;Eingliederungshilfe für seelisch behinderte junge Menschen § 35a SGB VIII
;;;In Anspruch genommene erzieh. Hilfen;Begonnene erzieher. Hilfen/Beratungen;In Anspruch genommene erzieh. Hilfen;Begonnene erzieher. Hilfen/Beratungen;In Anspruch genommene erzieh. Hilfen;Begonnene erzieher. Hilfen/Beratungen;In Anspruch genommene erzieh. Hilfen;Begonnene erzieher. Hilfen/Beratungen;In Anspruch genommene erzieh. Hilfen;Begonnene erzieher. Hilfen/Beratungen;In Anspruch genommene erzieh. Hilfen;Begonnene erzieher. Hilfen/Beratungen;In Anspruch genommene erzieh. Hilfen;Begonnene erzieher. Hilfen/Beratungen;In Anspruch genommene erzieh. Hilfen;Begonnene erzieher. Hilfen/Beratungen;In Anspruch genommene erzieh. Hilfen;Begonnene erzieher. Hilfen/Beratungen;In Anspruch genommene erzieh. Hilfen;Begonnene erzieher. Hilfen/Beratungen;In Anspruch genommene erzieh. Hilfen;Begonnene erzieher. Hilfen/Beratungen
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
2024;JH05158016;      Jugendamt Hilden;968;579;87;28;625;499;5;-;12;3;3;-;8;2;48;4;76;18;4;1;100;24
2024;JH05158020;      Jugendamt Langenfeld;1165;667;41;31;387;286;12;7;114;65;24;9;22;5;120;45;102;55;54;45;289;119
2024;JH05158024;      Jugendamt Mettmann;980;497;176;83;447;275;18;11;34;19;2;2;9;4;60;15;73;27;26;8;135;53
2024;JH05158026;      Jugendamt Monheim am Rhein;896;376;220;87;319;220;2;-;54;10;30;9;5;1;61;5;106;25;8;2;91;17
2024;JH05158028;      Jugendamt Ratingen;1482;891;62;47;733;533;1;-;77;48;236;126;17;8;65;5;162;72;14;6;115;46
2024;JH05158032;      Jugendamt Velbert;1307;556;12;6;478;273;7;3;78;32;208;73;13;5;117;15;190;75;-;-;204;74
2024;JH05158036;      Jugendamt Wülfrath;464;217;17;7;256;159;14;7;15;4;35;11;5;1;39;5;28;12;1;-;54;11
2024;05162;    Rhein-Kreis Neuss;7206;3481;716;292;3012;2009;51;20;372;193;703;260;93;38;456;54;718;265;89;45;996;305
2024;JH05162004;      Jugendamt Dormagen;1045;528;54;22;516;337;20;13;51;23;113;41;27;10;85;13;84;33;3;1;92;35
2024;JH05162008;      Jugendamt Grevenbroich;1102;567;27;10;404;312;8;2;64;31;170;62;15;8;84;20;120;51;22;16;188;55
2024;JH05162016;      Jugendamt Kaarst;1012;538;71;19;657;413;7;3;28;23;81;27;4;-;15;1;56;15;14;8;79;29
2024;JH05162022;      Jugendamt Meerbusch;814;352;186;55;366;231;-;-;32;16;17;6;3;1;27;4;46;12;3;-;134;27
2024;JH05162024;      Jugendamt Neuss;2567;1226;112;58;1069;716;14;1;175;87;303;116;44;19;158;9;308;107;34;15;350;98
2024;JH05162999;      Kreisjugendamt des Rhein-Kreises Neuss;666;270;266;128;-;-;2;1;22;13;19;8;-;-;87;7;104;47;13;5;153;61
2024;05166;    Viersen, Kreis;4811;2161;281;116;1502;959;63;9;147;80;659;295;23;7;573;114;441;169;163;80;959;332
2024;JH05166012;      Jugendamt Kempen;626;341;20;9;321;190;-;-;21;18;109;60;-;-;38;13;42;19;1;1;74;31
2024;JH05166016;      Jugendamt Nettetal (neu ab 01.01.2012);578;170;28;8;-;-;10;-;56;25;105;29;-;-;107;16;86;30;16;10;170;52
2024;JH05166032;      Jugendamt Viersen;1660;897;107;57;847;574;16;5;45;26;146;60;16;7;136;31;158;68;11;5;178;64
2024;JH05166036;      Jugendamt Willich;829;340;54;16;334;195;10;4;13;2;81;39;7;-;74;19;56;13;12;3;188;49
