Tabelle: 12411-15i
Katasterfläche (qkm), Bevölkerung und Bevölkerungsdichte - Stichtag - Gemeinden;;;;;
;;;Fortschreibung des Bevölkerungsstandes;Flächenerhebung nach Art der tatsächlichen Nutzung;Fortschreibung des Bevölkerungsstandes
;;;Bevölkerungsstand (Basis Zensus 2022 und früher);Bodenfläche (Katasterfläche) in qkm;Bevölkerungsdichte
;;;Anzahl;qkm;EW pro qkm
31.12.2024;05566008;      Emsdetten, Stadt;36159;72,06;501,8
31.12.2024;05566012;      Greven, Stadt;38212;140,26;272,4
31.12.2024;05566016;      Hörstel, Stadt;20166;107,54;187,5
31.12.2024;05566020;      Hopsten;7717;99,83;77,3
31.12.2024;05566024;      Horstmar, Stadt;7528;44,76;168,2
31.12.2024;05566028;      Ibbenbüren, Stadt;51803;108,87;475,8
31.12.2024;05566032;      Ladbergen;6906;52,35;131,9
31.12.2024;05566036;      Laer;6993;35,26;198,3
31.12.2024;05566040;      Lengerich, Stadt;22557;90,79;248,5
31.12.2024;05566044;      Lienen;8512;73,44;115,9
31.12.2024;05566048;      Lotte;13770;37,69;365,3
31.12.2024;05566052;      Metelen;6539;40,28;162,3
31.12.2024;05566056;      Mettingen;11654;40,60;287,0
31.12.2024;05566060;      Neuenkirchen;13915;48,44;287,3
31.12.2024;05566064;      Nordwalde;10024;51,60;194,3
31.12.2024;05566068;      Ochtrup, Stadt;20394;105,63;193,1
31.12.2024;05566072;      Recke;11341;53,69;211,2
31.12.2024;05566076;      Rheine, Stadt;77209;145,00;532,5
31.12.2024;05566080;      Saerbeck;6906;59,03;117,0
31.12.2024;05566084;      Steinfurt, Stadt;34860;111,67;312,2
31.12.2024;05566088;      Tecklenburg, Stadt;9098;70,49;129,1
31.12.2024;05566092;      Westerkappeln;10876;85,83;126,7
31.12.2024;05566096;      Wettringen;8295;57,69;143,8
31.12.2024;05570;    Warendorf, Kreis;282639;1319,42;214,2
31.12.2024;05570004;      Ahlen, Stadt;52666;123,13;427,7
31.12.2024;05570008;      Beckum, Stadt;37133;111,46;333,2
31.12.2024;05570012;      Beelen;6002;31,35;191,5
31.12.2024;05570016;      Drensteinfurt, Stadt;16282;106,60;152,7
31.12.2024;05570020;      Ennigerloh, Stadt;19841;125,56;158,0
31.12.2024;05570024;      Everswinkel;9772;69,06;141,5
31.12.2024;05570028;      Oelde, Stadt;30129;102,77;293,2
31.12.2024;05570032;      Ostbevern;11469;89,65;127,9
31.12.2024;05570036;      Sassenberg, Stadt;14558;78,08;186,4
31.12.2024;05570040;      Sendenhorst, Stadt;14167;96,95;146,1
31.12.2024;05570044;      Telgte, Stadt;20069;90,90;220,8
31.12.2024;05570048;      Wadersloh;12848;117,03;109,8
31.12.2024;05570052;      Warendorf, Stadt;37703;176,88;213,2
31.12.2024;057;  Detmold, Regierungsbezirk;2072861;6525,29;317,7
31.12.2024;05711;    Bielefeld, krfr. Stadt;331605;258,83;1281,2
31.12.2024;05754;    Gütersloh, Kreis;363982;969,21;375,5
31.12.2024;05754004;      Borgholzhausen, Stadt;8847;55,99;158,0
31.12.2024;05754008;      Gütersloh, Stadt;100479;112,02;897,0
31.12.2024;05754012;      Halle (Westf.), Stadt;21393;69,70;306,9
31.12.2024;05754016;      Harsewinkel, Stadt;25523;100,59;253,7
31.12.2024;05754020;      Herzebrock-Clarholz;16419;79,28;207,1
31.12.2024;05754024;      Langenberg;8311;38,31;216,9
31.12.2024;05754028;      Rheda-Wiedenbrück, Stadt;48030;86,72;553,9
31.12.2024;05754032;      Rietberg, Stadt;30055;110,31;272,5
31.12.2024;05754036;      Schloß Holte-Stukenbrock, Stadt;26297;67,52;389,5
31.12.2024;05754040;      Steinhagen;20302;56,41;359,9
31.12.2024;05754044;      Verl, Stadt;25762;71,37;361,0
31.12.2024;05754048;      Versmold, Stadt;21513;85,57;251,4
31.12.2024;05754052;      Werther (Westf.), Stadt;11051;35,42;312,0
31.12.2024;05758;    Herford, Kreis;254404;450,40;564,8
31.12.2024;05758004;      Bünde, Stadt;46365;59,30;781,9
31.12.2024;05758008;      Enger, Stadt;20688;41,24;501,6
31.12.2024;05758012;      Herford, Stadt;67503;79,15;852,8
31.12.2024;05758016;      Hiddenhausen;19669;23,87;824,0
31.12.2024;05758020;      Kirchlengern;16334;33,78;483,5
31.12.2024;05758024;      Löhne, Stadt;40826;59,51;686,0
31.12.2024;05758028;      Rödinghausen;10064;36,27;277,5
31.12.2024;05758032;      Spenge, Stadt;14620;40,35;362,3
31.12.2024;05758036;      Vlotho, Stadt;18335;76,93;238,3
31.12.2024;05762;    Höxter, Kreis;139252;1201,42;115,9
31.12.2024;05762004;      Bad Driburg, Stadt;19080;115,30;165,5
31.12.2024;05762008;      Beverungen, Stadt;12669;98,09;129,2
31.12.2024;05762012;      Borgentreich, Stadt;8632;138,94;62,1
31.12.2024;05762016;      Brakel, Stadt;16193;173,92;93,1
31.12.2024;05762020;      Höxter, Stadt;28166;158,16;178,1
31.12.2024;05762024;      Marienmünster, Stadt;4791;64,36;74,4
31.12.2024;05762028;      Nieheim, Stadt;6081;79,71;76,3
31.12.2024;05762032;      Steinheim, Stadt;12107;75,69;160,0
31.12.2024;05762036;      Warburg, Stadt;23252;168,84;137,7
31.12.2024;05762040;      Willebadessen, Stadt;8281;128,41;64,5
31.12.2024;05766;    Lippe, Kreis;347149;1246,21;278,6
31.12.2024;05766004;      Augustdorf;9774;42,18;231,7
31.12.2024;05766008;      Bad Salzuflen, Stadt;53958;100,05;539,3
31.12.2024;05766012;      Barntrup, Stadt;8297;59,46;139,5
31.12.2024;05766016;      Blomberg, Stadt;15485;99,10;156,3
31.12.2024;05766020;      Detmold, Stadt;74278;129,39;574,1
31.12.2024;05766024;      Dörentrup;7528;49,80;151,2
31.12.2024;05766028;      Extertal;11248;92,49;121,6
31.12.2024;05766032;      Horn-Bad Meinberg, Stadt;17320;90,15;192,1
31.12.2024;05766036;      Kalletal;13256;112,42;117,9
31.12.2024;05766040;      Lage, Stadt;35054;76,04;461,0
31.12.2024;05766044;      Lemgo, Stadt;39905;100,85;395,7
31.12.2024;05766048;      Leopoldshöhe;17226;36,93;466,5
31.12.2024;05766052;      Lügde, Stadt;9232;88,64;104,2
31.12.2024;05766056;      Oerlinghausen, Stadt;17233;32,69;527,2
31.12.2024;05766060;      Schieder-Schwalenberg, Stadt;8098;60,04;134,9
31.12.2024;05766064;      Schlangen;9257;75,97;121,9
31.12.2024;05770;    Minden-Lübbecke, Kreis;320557;1152,41;278,2
31.12.2024;05770004;      Bad Oeynhausen, Stadt;50620;64,83;780,8
31.12.2024;05770008;      Espelkamp, Stadt;25576;84,21;303,7
31.12.2024;05770012;      Hille;16274;102,99;158,0
31.12.2024;05770016;      Hüllhorst;13304;44,70;297,6
31.12.2024;05770020;      Lübbecke, Stadt;26815;65,04;412,3
31.12.2024;05770024;      Minden, Stadt;84013;101,12;830,8
31.12.2024;05770028;      Petershagen, Stadt;25340;211,94;119,6
31.12.2024;05770032;      Porta Westfalica, Stadt;36521;105,22;347,1
31.12.2024;05770036;      Preußisch Oldendorf, Stadt;12439;68,75;180,9
31.12.2024;05770040;      Rahden, Stadt;16195;137,48;117,8
31.12.2024;05770044;      Stemwede;13460;166,13;81,0
31.12.2024;05774;    Paderborn, Kreis;315912;1246,80;253,4
31.12.2024;05774004;      Altenbeken;9161;76,22;120,2
31.12.2024;05774008;      Bad Lippspringe, Stadt;17252;51,01;338,2
31.12.2024;05774012;      Borchen;13721;77,28;177,5
31.12.2024;05774016;      Büren, Stadt;21593;170,99;126,3
31.12.2024;05774020;      Delbrück, Stadt;32166;157,28;204,5
31.12.2024;05774024;      Hövelhof;16809;70,74;237,6
31.12.2024;05774028;      Lichtenau, Stadt;10985;192,57;57,0
31.12.2024;05774032;      Paderborn, Stadt;156378;179,59;870,8
31.12.2024;05774036;      Salzkotten, Stadt;25429;109,80;231,6
31.12.2024;05774040;      Bad Wünnenberg, Stadt;12418;161,30;77,0
31.12.2024;059;  Arnsberg, Regierungsbezirk;3571898;8012,41;445,8
31.12.2024;05911;    Bochum, krfr. Stadt;358676;145,66;2462,4
31.12.2024;05913;    Dortmund, krfr. Stadt;603462;280,71;2149,8
31.12.2024;05914;    Hagen, krfr. Stadt;190384;160,45;1186,6
31.12.2024;05915;    Hamm, krfr. Stadt;179968;226,43;794,8
31.12.2024;05916;    Herne, krfr. Stadt;155851;51,42;3030,9
31.12.2024;05954;    Ennepe-Ruhr-Kreis;314167;409,64;766,9
31.12.2024;05954004;      Breckerfeld, Stadt;8816;59,09;149,2
31.12.2024;05954008;      Ennepetal, Stadt;29446;57,77;509,7
31.12.2024;05954012;      Gevelsberg, Stadt;30006;26,34;1139,2
31.12.2024;05954016;      Hattingen, Stadt;53044;71,67;740,1
31.12.2024;05954020;      Herdecke, Stadt;22772;22,39;1017,1
31.12.2024;05954024;      Schwelm, Stadt;27953;20,50;1363,6
31.12.2024;05954028;      Sprockhövel, Stadt;24232;47,94;505,5
31.12.2024;05954032;      Wetter (Ruhr), Stadt;26090;31,55;826,9
31.12.2024;05954036;      Witten, Stadt;91808;72,40;1268,1
31.12.2024;05958;    Hochsauerlandkreis;260843;1960,17;133,1
31.12.2024;05958004;      Arnsberg, Stadt;74879;193,72;386,5
31.12.2024;05958008;      Bestwig;10147;69,46;146,1
31.12.2024;05958012;      Brilon, Stadt;25424;229,16;110,9
31.12.2024;05958016;      Eslohe (Sauerland);8717;113,36;76,9
31.12.2024;05958020;      Hallenberg, Stadt;4367;65,35;66,8
31.12.2024;05958024;      Marsberg, Stadt;19555;182,22;107,3
31.12.2024;05958028;      Medebach, Stadt;7906;126,05;62,7
31.12.2024;05958032;      Meschede, Stadt;29615;218,52;135,5
31.12.2024;05958036;      Olsberg, Stadt;14700;118,00;124,6
31.12.2024;05958040;      Schmallenberg, Stadt;24711;303,10;81,5
31.12.2024;05958044;      Sundern (Sauerland), Stadt;27654;193,27;143,1
31.12.2024;05958048;      Winterberg, Stadt;13168;147,95;89,0
31.12.2024;05962;    Märkischer Kreis;408046;1061,09;384,6
31.12.2024;05962004;      Altena, Stadt;16621;44,42;374,2
31.12.2024;05962008;      Balve, Stadt;11240;74,81;150,2
31.12.2024;05962012;      Halver, Stadt;16322;77,23;211,3
31.12.2024;05962016;      Hemer, Stadt;35005;67,66;517,4
31.12.2024;05962020;      Herscheid;6821;59,40;114,8
31.12.2024;05962024;      Iserlohn, Stadt;91811;125,49;731,6
31.12.2024;05962028;      Kierspe, Stadt;16450;71,91;228,8
31.12.2024;05962032;      Lüdenscheid, Stadt;71212;87,02;818,3
31.12.2024;05962036;      Meinerzhagen, Stadt;20019;115,69;173,0
31.12.2024;05962040;      Menden (Sauerland), Stadt;52255;86,10;606,9
31.12.2024;05962044;      Nachrodt-Wiblingwerde;6159;29,03;212,2
31.12.2024;05962048;      Neuenrade, Stadt;11621;54,10;214,8
31.12.2024;05962052;      Plettenberg, Stadt;24429;96,75;252,5
31.12.2024;05962056;      Schalksmühle;10463;38,09;274,7
31.12.2024;05962060;      Werdohl, Stadt;17618;33,38;527,8
31.12.2024;05966;    Olpe, Kreis;132346;712,11;185,9
31.12.2024;05966004;      Attendorn, Stadt;23554;97,92;240,5
31.12.2024;05966008;      Drolshagen, Stadt;11913;67,11;177,5
31.12.2024;05966012;      Finnentrop;17022;104,42;163,0
31.12.2024;05966016;      Kirchhundem;11509;148,63;77,4
31.12.2024;05966020;      Lennestadt, Stadt;24238;135,58;178,8
31.12.2024;05966024;      Olpe, Stadt;24695;85,88;287,6
31.12.2024;05966028;      Wenden;19415;72,56;267,6
31.12.2024;05970;    Siegen-Wittgenstein, Kreis;274074;1132,89;241,9
31.12.2024;05970004;      Bad Berleburg, Stadt;18400;275,52;66,8
31.12.2024;05970008;      Burbach;14553;79,72;182,6
31.12.2024;05970012;      Erndtebrück;6792;70,98;95,7
31.12.2024;05970016;      Freudenberg, Stadt;17355;54,60;317,9
31.12.2024;05970020;      Hilchenbach, Stadt;14412;81,12;177,7
31.12.2024;05970024;      Kreuztal, Stadt;30905;71,07;434,9
31.12.2024;05970028;      Bad Laasphe, Stadt;13148;135,95;96,7
31.12.2024;05970032;      Netphen, Stadt;23080;137,39;168,0
31.12.2024;05970036;      Neunkirchen;12705;39,81;319,1
31.12.2024;05970040;      Siegen, Stadt;102685;114,69;895,3
31.12.2024;05970044;      Wilnsdorf;20039;72,04;278,2
31.12.2024;05974;    Soest, Kreis;300297;1328,64;226,0
31.12.2024;05974004;      Anröchte;10304;73,79;139,6
31.12.2024;05974008;      Bad Sassendorf;12194;63,46;192,2
31.12.2024;05974012;      Ense;12383;51,08;242,4
31.12.2024;05974016;      Erwitte, Stadt;16300;89,41;182,3
