Tabelle: 22811-05i
Sozialberichterstattung in der amtlichen Statistik:;;;;;;;;;;
Empfänger/innen von sozialen Mindestsicherungsleistungen;;;;;;;;;;
nach Art der Leistung - Gemeinden (Wohnortprinzip) - Jahr;;;;;;;;;;
Sozialberichterstattung in der amtlichen Statistik;;;;;;;;;;
;;;Empfänger/innen von soz. Mindestsicherungsleistung;Empfänger/innen von soz. Mindestsicherungsleistung;Empfänger/innen von soz. Mindestsicherungsleistung;Empfänger/innen von soz. Mindestsicherungsleistung;Empfänger/innen von soz. Mindestsicherungsleistung;Empfänger/innen von soz. Mindestsicherungsleistung;Empfänger/innen von soz. Mindestsicherungsleistung;Empfänger/innen von soz. Mindestsicherungsleistung
;;;Gesamtregelleistung (ALG II/Sozialgeld) nach dem SGB II;Insgesamt;Gesamtregelleistung (ALG II/Sozialgeld) nach dem SGB II;Hilfe zum Lebensunterhalt außerhalb von Einrichtungen nach dem SGB XII;Grundsicherung im Alter und bei Erwerbsminderung nach dem SGB XII;Grundsicherung im Alter und bei Erwerbsminderung nach dem SGB XII;Grundsicherung im Alter und bei Erwerbsminderung nach dem SGB XII;Regelleistungen nach dem Asylbewerberleistungsgesetz
;;;;;;;Insgesamt;im Alter;bei Erwerbsminderung;
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
2024;05170024;      Moers, Stadt;9277;11727;9277;170;1685;980;705;595
2024;05170028;      Neukirchen-Vluyn, Stadt;1724;2249;1724;35;305;180;130;185
2024;05170032;      Rheinberg, Stadt;1378;2108;1378;35;335;190;145;360
2024;05170036;      Schermbeck;616;946;616;15;155;85;70;160
2024;05170040;      Sonsbeck;398;658;398;15;185;75;110;60
2024;05170044;      Voerde (Niederrhein), Stadt;2500;3290;2500;60;475;240;235;255
2024;05170048;      Wesel, Stadt;5061;6681;5061;125;1240;630;610;255
2024;05170052;      Xanten, Stadt;931;1506;931;20;300;155;145;255
2024;053;  Köln, Regierungsbezirk;347111;457341;347111;8605;78930;49255;29680;22695
2024;05314;    Bonn, krfr. Stadt;27691;36091;27691;655;6640;4400;2240;1105
2024;05315;    Köln, krfr. Stadt;108840;142235;108840;2410;26165;17770;8390;4820
2024;05316;    Leverkusen, krfr. Stadt;16062;20452;16062;555;2940;1835;1105;895
2024;05334;    Städteregion Aachen (einschl. Stadt Aachen);46388;60583;46388;1250;10360;6415;3945;2585
2024;05334002;      Aachen, krfr. Stadt (ab 21.10.2009);21917;28772;21917;520;5815;3905;1910;520
2024;05334004;      Alsdorf, Stadt (ab 21.10.2009);4557;5692;4557;135;675;335;345;325
2024;05334008;      Baesweiler, Stadt (ab 21.10.2009);2221;2836;2221;60;215;100;115;340
2024;05334012;      Eschweiler, Stadt (ab 21.10.2009);5151;6476;5151;150;975;530;445;200
2024;05334016;      Herzogenrath, Stadt (ab 21.10.2009);2847;3987;2847;120;680;380;300;340
2024;05334020;      Monschau, Stadt (ab 21.10.2009);500;695;500;10;115;50;65;70
2024;05334024;      Roetgen (ab 21.10.2009);288;418;288;5;55;35;20;70
2024;05334028;      Simmerath (ab 21.10.2009);687;1122;687;35;205;95;115;195
2024;05334032;      Stolberg (Rhld.), Stadt (ab 21.10.2009);5693;7153;5693;155;1020;635;390;285
2024;05334036;      Würselen, Stadt (ab 21.10.2009);2527;3437;2527;65;600;355;245;245
2024;05358;    Düren, Kreis;21302;27632;21302;360;4230;2220;2010;1740
2024;05358004;      Aldenhoven;1071;1321;1071;20;180;80;100;50
2024;05358008;      Düren, Stadt;11619;14799;11619;180;2290;1210;1080;710
2024;05358012;      Heimbach, Stadt;279;379;279;5;75;35;40;20
2024;05358016;      Hürtgenwald;389;559;389;5;70;30;40;95
2024;05358020;      Inden;362;517;362;5;55;35;20;95
2024;05358024;      Jülich, Stadt;2103;2853;2103;55;505;270;235;190
2024;05358028;      Kreuzau;690;915;690;10;180;105;75;35
2024;05358032;      Langerwehe;685;915;685;10;110;55;55;110
2024;05358036;      Linnich, Stadt;866;1111;866;15;160;85;75;70
2024;05358040;      Merzenich;495;630;495;5;90;45;40;40
2024;05358044;      Nideggen, Stadt;458;608;458;5;125;75;50;20
2024;05358048;      Niederzier;855;1155;855;20;140;70;70;140
2024;05358052;      Nörvenich;622;857;622;15;115;55;60;105
2024;05358056;      Titz;396;521;396;10;60;40;25;55
2024;05358060;      Vettweiß;412;502;412;10;75;30;45;5
2024;05362;    Rhein-Erft-Kreis;32128;41308;32128;690;6140;3835;2305;2350
2024;05362004;      Bedburg, Stadt;1521;1841;1521;15;220;130;90;85
2024;05362008;      Bergheim, Stadt;6255;7635;6255;110;1015;600;415;255
2024;05362012;      Brühl, Stadt;2721;3486;2721;55;580;370;210;130
2024;05362016;      Elsdorf, Stadt;1437;1707;1437;35;215;100;115;20
2024;05362020;      Erftstadt, Stadt;2114;2959;2114;75;530;320;210;240
2024;05362024;      Frechen, Stadt;3926;5231;3926;90;800;510;290;415
2024;05362028;      Hürth, Stadt;3503;4733;3503;70;820;555;265;340
2024;05362032;      Kerpen, Stadt;5404;6969;5404;85;1075;655;420;405
