Tabelle: 22811-05i
Sozialberichterstattung in der amtlichen Statistik:;;;;;;;;;;
Empfänger/innen von sozialen Mindestsicherungsleistungen;;;;;;;;;;
nach Art der Leistung - Gemeinden (Wohnortprinzip) - Jahr;;;;;;;;;;
Sozialberichterstattung in der amtlichen Statistik;;;;;;;;;;
;;;Empfänger/innen von soz. Mindestsicherungsleistung;Empfänger/innen von soz. Mindestsicherungsleistung;Empfänger/innen von soz. Mindestsicherungsleistung;Empfänger/innen von soz. Mindestsicherungsleistung;Empfänger/innen von soz. Mindestsicherungsleistung;Empfänger/innen von soz. Mindestsicherungsleistung;Empfänger/innen von soz. Mindestsicherungsleistung;Empfänger/innen von soz. Mindestsicherungsleistung
;;;Gesamtregelleistung (ALG II/Sozialgeld) nach dem SGB II;Insgesamt;Gesamtregelleistung (ALG II/Sozialgeld) nach dem SGB II;Hilfe zum Lebensunterhalt außerhalb von Einrichtungen nach dem SGB XII;Grundsicherung im Alter und bei Erwerbsminderung nach dem SGB XII;Grundsicherung im Alter und bei Erwerbsminderung nach dem SGB XII;Grundsicherung im Alter und bei Erwerbsminderung nach dem SGB XII;Regelleistungen nach dem Asylbewerberleistungsgesetz
;;;;;;;Insgesamt;im Alter;bei Erwerbsminderung;
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
2024;05770008;      Espelkamp, Stadt;1620;2205;1620;45;490;300;190;50
2024;05770012;      Hille;576;796;576;10;90;50;40;120
2024;05770016;      Hüllhorst;498;658;498;15;95;50;45;50
2024;05770020;      Lübbecke, Stadt;1490;2100;1490;35;445;225;220;130
2024;05770024;      Minden, Stadt;10322;12637;10322;105;1825;1045;780;385
2024;05770028;      Petershagen, Stadt;1304;1964;1304;35;385;150;230;240
2024;05770032;      Porta Westfalica, Stadt;2185;2675;2185;20;415;265;150;55
2024;05770036;      Preußisch Oldendorf, Stadt;528;683;528;10;110;65;45;35
2024;05770040;      Rahden, Stadt;811;1116;811;15;195;105;85;95
2024;05770044;      Stemwede;464;654;464;10;130;70;60;50
2024;05774;    Paderborn, Kreis;19154;25829;19154;420;4600;2865;1735;1655
2024;05774004;      Altenbeken;508;643;508;5;105;55;50;25
2024;05774008;      Bad Lippspringe, Stadt;1311;1801;1311;30;420;275;145;40
2024;05774012;      Borchen;558;823;558;15;120;75;50;130
2024;05774016;      Büren, Stadt;840;1560;840;20;240;130;110;460
2024;05774020;      Delbrück, Stadt;1202;1882;1202;25;365;250;115;290
2024;05774024;      Hövelhof;625;925;625;20;175;105;70;105
2024;05774028;      Lichtenau, Stadt;443;653;443;10;105;65;45;95
2024;05774032;      Paderborn, Stadt;12168;15488;12168;260;2680;1695;985;380
2024;05774036;      Salzkotten, Stadt;1040;1400;1040;15;275;145;130;70
2024;05774040;      Bad Wünnenberg, Stadt;459;639;459;10;115;75;40;55
2024;059;  Arnsberg, Regierungsbezirk;337680;422640;337680;5770;63480;38605;24875;15710
2024;05911;    Bochum, krfr. Stadt;39131;47631;39131;500;7070;4575;2495;930
2024;05913;    Dortmund, krfr. Stadt;88984;106414;88984;1150;14935;10200;4730;1345
2024;05914;    Hagen, krfr. Stadt;25810;31620;25810;510;4280;2515;1760;1020
2024;05915;    Hamm, krfr. Stadt;16052;20637;16052;190;2970;1810;1160;1425
2024;05916;    Herne, krfr. Stadt;22286;26126;22286;250;3300;1960;1335;290
2024;05954;    Ennepe-Ruhr-Kreis;26718;34263;26718;525;5365;3145;2220;1655
2024;05954004;      Breckerfeld, Stadt;380;620;380;5;95;55;45;140
2024;05954008;      Ennepetal, Stadt;2380;3025;2380;55;440;285;160;150
2024;05954012;      Gevelsberg, Stadt;2696;3511;2696;45;550;280;265;220
2024;05954016;      Hattingen, Stadt;4561;6046;4561;105;965;610;360;415
2024;05954020;      Herdecke, Stadt;1338;1658;1338;25;195;130;65;100
2024;05954024;      Schwelm, Stadt;2999;3594;2999;35;500;290;210;60
2024;05954028;      Sprockhövel, Stadt;1022;1517;1022;10;255;170;80;230
2024;05954032;      Wetter (Ruhr), Stadt;1797;2462;1797;40;540;205;330;85
2024;05954036;      Witten, Stadt;9545;11835;9545;205;1825;1120;705;260
2024;05958;    Hochsauerlandkreis;12733;18488;12733;400;3880;1950;1925;1475
2024;05958004;      Arnsberg, Stadt;5155;6890;5155;145;1295;815;475;295
2024;05958008;      Bestwig;493;713;493;15;100;45;55;105
2024;05958012;      Brilon, Stadt;938;1543;938;35;375;165;210;195
2024;05958016;      Eslohe (Sauerland);348;488;348;10;80;40;40;50
2024;05958020;      Hallenberg, Stadt;.;60;.;-;25;10;15;35
2024;05958024;      Marsberg, Stadt;887;1512;887;30;465;165;295;130
2024;05958028;      Medebach, Stadt;.;110;.;10;65;40;25;35
2024;05958032;      Meschede, Stadt;1274;1769;1274;35;380;200;180;80
2024;05958036;      Olsberg, Stadt;564;954;564;25;280;70;215;85
2024;05958040;      Schmallenberg, Stadt;931;1481;931;45;345;135;210;160
2024;05958044;      Sundern (Sauerland), Stadt;1201;1756;1201;35;325;185;140;195
2024;05958048;      Winterberg, Stadt;475;750;475;20;145;80;60;110
2024;05962;    Märkischer Kreis;32620;40965;32620;580;6400;3600;2800;1365
2024;05962004;      Altena, Stadt;1596;1891;1596;50;225;115;110;20
2024;05962008;      Balve, Stadt;491;631;491;10;85;50;35;45
2024;05962012;      Halver, Stadt;950;1195;950;15;180;105;75;50
2024;05962016;      Hemer, Stadt;2517;3292;2517;60;520;275;245;195
2024;05962020;      Herscheid;255;355;255;5;45;20;30;50
2024;05962024;      Iserlohn, Stadt;8757;10972;8757;85;1890;1075;815;240
2024;05962028;      Kierspe, Stadt;908;1188;908;15;210;120;90;55
2024;05962032;      Lüdenscheid, Stadt;7037;8717;7037;135;1425;790;635;120
2024;05962036;      Meinerzhagen, Stadt;1311;1571;1311;20;220;140;80;20
2024;05962040;      Menden (Sauerland), Stadt;3319;4384;3319;80;795;445;350;190
2024;05962044;      Nachrodt-Wiblingwerde;402;507;402;20;60;30;30;25
2024;05962048;      Neuenrade, Stadt;720;950;720;10;105;70;35;115
2024;05962052;      Plettenberg, Stadt;1777;2127;1777;10;240;135;105;100
2024;05962056;      Schalksmühle;642;797;642;10;100;65;35;45
2024;05962060;      Werdohl, Stadt;1938;2393;1938;55;295;165;130;105
2024;05966;    Olpe, Kreis;5690;8065;5690;100;1280;660;620;995
2024;05966004;      Attendorn, Stadt;1138;1478;1138;20;250;135;115;70
2024;05966008;      Drolshagen, Stadt;505;675;505;5;95;35;60;70
2024;05966012;      Finnentrop;678;1038;678;10;160;95;65;190
2024;05966016;      Kirchhundem;447;692;447;5;125;40;85;115
2024;05966020;      Lennestadt, Stadt;1311;1641;1311;30;260;135;125;40
2024;05966024;      Olpe, Stadt;947;1612;947;20;275;155;120;370
2024;05966028;      Wenden;664;934;664;10;115;65;50;145
2024;05970;    Siegen-Wittgenstein, Kreis;18265;23305;18265;415;3650;2135;1510;975
2024;05970004;      Bad Berleburg, Stadt;985;1210;985;30;155;95;55;40
2024;05970008;      Burbach;585;785;585;20;145;95;50;35
2024;05970012;      Erndtebrück;257;367;257;-;65;35;25;45
2024;05970016;      Freudenberg, Stadt;612;902;612;25;195;115;80;70
2024;05970020;      Hilchenbach, Stadt;871;1171;871;25;180;105;75;95
2024;05970024;      Kreuztal, Stadt;2239;2769;2239;50;365;230;135;115
2024;05970028;      Bad Laasphe, Stadt;685;920;685;10;160;75;80;65
2024;05970032;      Netphen, Stadt;1089;1514;1089;40;235;125;110;150
2024;05970036;      Neunkirchen;776;971;776;20;110;55;55;65
2024;05970040;      Siegen, Stadt;9539;11799;9539;170;1895;1105;790;195
2024;05970044;      Wilnsdorf;627;897;627;25;150;95;55;95
2024;05974;    Soest, Kreis;17262;24782;17262;350;4335;2415;1920;2835
2024;05974004;      Anröchte;442;582;442;5;80;50;30;55
2024;05974008;      Bad Sassendorf;521;756;521;10;195;140;60;30
2024;05974012;      Ense;489;644;489;15;105;55;50;35
2024;05974016;      Erwitte, Stadt;846;1206;846;15;185;115;70;160
2024;05974020;      Geseke, Stadt;1004;1344;1004;10;275;165;110;55
2024;05974024;      Lippetal;568;793;568;10;90;40;50;125
2024;05974028;      Lippstadt, Stadt;4794;6304;4794;110;1260;660;600;140
2024;05974032;      Möhnesee;412;882;412;5;100;65;30;365
2024;05974036;      Rüthen, Stadt;549;714;549;10;105;60;45;50
2024;05974040;      Soest, Stadt;2956;4691;2956;55;770;450;320;910
2024;05974044;      Warstein, Stadt;1287;1957;1287;35;425;200;225;210
2024;05974048;      Welver;474;679;474;20;105;65;40;80
2024;05974052;      Werl, Stadt;2317;3032;2317;45;495;250;250;175
2024;05974056;      Wickede (Ruhr);603;1193;603;10;140;95;45;440
2024;05978;    Unna, Kreis;32129;40354;32129;800;6025;3635;2395;1400
2024;05978004;      Bergkamen, Stadt;4912;6042;4912;115;720;395;330;295
2024;05978008;      Bönen;1542;1812;1542;35;215;115;100;20
2024;05978012;      Fröndenberg / Ruhr, Stadt;935;1330;935;20;275;205;70;100
2024;05978016;      Holzwickede;885;1235;885;40;205;150;55;105
2024;05978020;      Kamen, Stadt;3316;4141;3316;65;630;295;335;130
2024;05978024;      Lünen, Stadt;10187;12047;10187;210;1510;905;605;140
2024;05978028;      Schwerte, Stadt;3331;4186;3331;70;670;410;265;115
2024;05978032;      Selm, Stadt;1879;2464;1879;50;370;235;135;165
2024;05978036;      Unna, Stadt;3718;5243;3718;160;1130;740;390;235
2024;05978040;      Werne, Stadt;1424;1849;1424;25;300;185;115;100
2024;05999998;      Wohnort außerhalb von NRW;-;2485;-;205;2265;550;1715;15
__________
"zu ""Mindestsicherungsleistung"":
 
Mindestsicherungsleistungen sind finanzielle Hilfen des
Staates, die zur Sicherung des grundlegenden Lebensunter-
halts an leistungsberechtigte Personen gezahlt werden.
 
Dazu zählen folgende Leistungen:
GGesamtregelleistung nach dem SGB II ""Grundsicherung für
Arbeitsuchende"" (ab 01.01.2023: Bürgergeld; bis 31.12.2022:
Arbeitslosengeld II / Sozialgeld), Grundsicherung im
Alter und bei Erwerbsminderung nach dem SGB XII
Sozialhilfe, laufende Hilfe zum Lebensunterhalt außerhalb
von Einrichtungen nach dem SGB XII und Regelleistungen nach
dem Asylbewerberleistungsgesetz (AsylbLG).

2020:
Ab dem Berichtsjahr 2020 erfolgt die Veröffentlichung der
Ergebnisse der Statistik der Empfängerinnen und Empfänger
mit laufender Hilfe zum Lebensunterhalt (außerhalb von
Einrichtungen), von Grundsicherung und Regelleistungen nach
dem AsylbLG unter Einsatz des Geheimhaltungsverfahrens der
5er-Rundung.

2015-2019 Empfänger von Regelleistungen nach dem AsylbLG:
Landesebene -
In den Berichtsjahren 2015, 2017 und 2018 kam es aufgrund
einer Meldeproblematik zu einer Untererfassung und im
Berichtsjahr 2016 zu einer Übererfassung der Empfängerinnen
und Empfängern von Regelleistungen nach dem AsylbLG in
Landesaufnahmeeinrichtungen.
Unterhalb der Landesebene -
Nur Meldungen der örtlichen Träger; ohne Empfängerinnen und
Empfängern von Regelleistungen nach dem AsylbLG in
Landesaufnahmeeinrichtungen.

bis 2012:
Zahl der Empfänger/-innen von Grundsicherungsleistungen im
Alter von 65 Jahren und älter; ab 2012: Zahl der
Empfänger/-innen von Grundsicherungsleistungen, die die
Altersgrenze nach § 41 Absatz 2 SGB XII überschritten
haben.

AGS 05999998 außerhalb von NRW:
Empfänger/-innen, die Leistungen nach dem SGB XII oder
Regelleistungen nach dem AsylbLG von einem
nordrhein-westfälischen Träger erhalten, deren Hauptwohnsitz
aber außerhalb Nordrhein-Westfalens liegt.
 
NRW:
Landeswert inklusive der Empfänger/-innen, die Leistungen
nach dem SGB XII oder Regelleistungen nach dem AsylbLG von
einem nordrhein-westfälischen Träger erhalten, deren
Hauptwohnsitz aber außerhalb Nordrhein-Westfalens liegt.

2015 AsylbLG:
Aufgrund fehlerhafter Meldungen sind die Daten zum Wohnort
der Empfänger/-innen von Regelleistungen nach dem Asyl-
bewerberleistungsgesetz für das Jahr 2015 für die
kreisfreien Städte Düsseldorf und Mönchengladbach nicht
plausibel. Aus diesem Grund wurde hier hilfsweise die Zahl
der Fälle mit Träger in der jeweiligen Region verwendet.
Dementsprechend weicht die Zahl der Empfänger/-innen von
sozialen Mindestsicherungsleistungen für den Regierungs-
bezirk Düsseldorf von der Summe der dazugehörigen Kreise und
kreisfreien Städte ab.
----
 
Datenquellen:
Bundesagentur für Arbeit, Ergebnisse der Statistik der
Grundsicherung für Arbeitsuchende jeweils zum Berichtsmonat
Dezember. [Datenstand: März 2024]


IT NRW, Ergebnisse der Sozialhilfestatistik, der Statistik
der Grundsicherung im Alter und bei Erwerbsminderung sowie
der Asylbewerberleistungsstatistik
(jeweils zum Stichtag 31.12.).
----------"
© IT.NRW, Düsseldorf, 2026. Dieses Werk ist lizenziert unter der Datenlizenz Deutschland - Namensnennung - Version 2.0.
Stand: 02.01.2026 / 19:06:32
