Tabelle: 22517-02i
Statistik der erzieherischen Hilfen:;;;;;;
In Anspruch genommene und begonnene Hilfen/Beratungen;;;;;;
nach Art der Hilfe - Jugendämter - Jahr;;;;;;
Statistik der erzieherischen Hilfe;;;;;;
;;;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe
;;;Insgesamt;Insgesamt;Eingliederungshilfe für seelisch behinderte junge Menschen § 35a SGB VIII;Eingliederungshilfe für seelisch behinderte junge Menschen § 35a SGB VIII
;;;In Anspruch genommene erzieh. Hilfen;Begonnene erzieher. Hilfen/Beratungen;In Anspruch genommene erzieh. Hilfen;Begonnene erzieher. Hilfen/Beratungen
;;;Anzahl;Anzahl;Anzahl;Anzahl
2023;05;Nordrhein-Westfalen;298454;148782;39924;12991
2023;051;  Düsseldorf, Regierungsbezirk;92449;46657;10780;3786
2023;05111;    Düsseldorf, krfr. Stadt;10746;6493;479;133
2023;05112;    Duisburg, krfr. Stadt;10288;4916;1324;489
2023;05113;    Essen, krfr. Stadt;9864;4893;829;234
2023;05114;    Krefeld, krfr. Stadt;5086;2407;448;125
2023;05116;    Mönchengladbach, krfr. Stadt;4504;2257;309;116
2023;05117;    Mülheim an der Ruhr, krfr. Stadt;2415;1210;495;202
2023;05119;    Oberhausen, krfr. Stadt;5095;2990;284;119
2023;05120;    Remscheid, krfr. Stadt;1536;823;193;101
2023;05122;    Solingen, krfr. Stadt;2812;1358;480;202
2023;05124;    Wuppertal, krfr. Stadt;5645;2544;747;284
2023;05154;    Kleve, Kreis;5124;2349;1022;377
2023;JH05154008;      Jugendamt Emmerich am Rhein;321;90;102;29
2023;JH05154012;      Jugendamt Geldern;1409;687;202;99
2023;JH05154016;      Jugendamt Goch;409;153;108;29
2023;JH05154032;      Jugendamt Kevelaer;324;120;84;21
2023;JH05154036;      Jugendamt Kleve;1385;807;93;32
2023;JH05154999;      Kreisjugendamt des Kreises Kleve;1276;492;433;167
2023;05158;    Mettmann, Kreis;8569;4539;1101;384
2023;JH05158004;      Jugendamt Erkrath;856;413;77;12
2023;JH05158008;      Jugendamt Haan/Rhld.;251;81;117;41
2023;JH05158012;      Jugendamt Heiligenhaus;517;263;30;13
2023;JH05158016;      Jugendamt Hilden;961;615;69;23
2023;JH05158020;      Jugendamt Langenfeld;1059;597;251;100
2023;JH05158024;      Jugendamt Mettmann;890;469;134;53
2023;JH05158026;      Jugendamt Monheim am Rhein;946;510;105;49
2023;JH05158028;      Jugendamt Ratingen;1388;757;111;29
2023;JH05158032;      Jugendamt Velbert;1199;578;148;49
2023;JH05158036;      Jugendamt Wülfrath;502;256;59;15
2023;05162;    Rhein-Kreis Neuss;6943;3380;925;292
2023;JH05162004;      Jugendamt Dormagen;971;456;58;18
2023;JH05162008;      Jugendamt Grevenbroich;1060;526;201;65
2023;JH05162016;      Jugendamt Kaarst;1022;580;69;17
2023;JH05162022;      Jugendamt Meerbusch;761;349;130;29
2023;JH05162024;      Jugendamt Neuss;2625;1298;342;119
2023;JH05162999;      Kreisjugendamt des Rhein-Kreises Neuss;504;171;125;44
2023;05166;    Viersen, Kreis;4622;2080;891;310
2023;JH05166012;      Jugendamt Kempen;542;265;72;18
2023;JH05166016;      Jugendamt Nettetal (neu ab 01.01.2012);563;204;142;52
2023;JH05166032;      Jugendamt Viersen;1624;860;181;75
2023;JH05166036;      Jugendamt Willich;807;339;167;37
2023;JH05166999;      Kreisjugendamt des Kreises Viersen;1086;412;329;128
2023;05170;    Wesel, Kreis;9200;4418;1253;418
2023;JH05170008;      Jugendamt Dinslaken;991;357;160;53
2023;JH05170020;      Jugendamt Kamp-Lintfort;575;212;104;41
2023;JH05170024;      Jugendamt Moers;1532;644;313;113
2023;JH05170032;      Jugendamt Rheinberg;838;412;76;17
2023;JH05170044;      Jugendamt Voerde;479;177;131;48
2023;JH05170048;      Jugendamt Wesel;1495;719;137;44
2023;JH05170999;      Kreisjugendamt des Kreises Wesel;3290;1897;332;102
2023;053;  Köln, Regierungsbezirk;73838;35329;13200;4093
2023;05313;    Aachen, krfr. Stadt;-;-;-;-
2023;05314;    Bonn, krfr. Stadt;4257;2284;710;193
2023;05315;    Köln, krfr. Stadt;16271;7470;3835;1062
2023;05316;    Leverkusen, krfr. Stadt;2782;1251;556;170
2023;05334;    Städteregion Aachen (einschl. Stadt Aachen);11335;5453;1991;681
2023;JH05334002;      Jugendamt Aachen;5221;2913;856;395
2023;JH05334004;      Jugendamt Alsdorf;1351;621;157;44
2023;JH05334012;      Jugendamt Eschweiler;686;237;184;55
2023;JH05334016;      Jugendamt Herzogenrath;661;202;201;57
2023;JH05334032;      Jugendamt Stolberg;755;89;235;32
2023;JH05334036;      Jugendamt Würselen;454;177;195;74
2023;JH05334999;      Kreisjugendamt der Städteregion Aachen;2207;1214;163;24
2023;05354;    Aachen, Kreis;-;-;-;-
2023;JH05354004;      Jugendamt Alsdorf;-;-;-;-
2023;JH05354012;      Jugendamt Eschweiler;-;-;-;-
2023;JH05354016;      Jugendamt Herzogenrath;-;-;-;-
2023;JH05354032;      Jugendamt Stolberg;-;-;-;-
2023;JH05354036;      Jugendamt Würselen;-;-;-;-
2023;JH05354999;      Kreisjugendamt des Kreises Aachen;-;-;-;-
2023;05358;    Düren, Kreis;4976;2288;972;280
2023;JH05358008;      Jugendamt Düren;2259;1180;198;60
2023;JH05358999;      Kreisjugendamt des Kreises Düren;2717;1108;774;220
2023;05362;    Rhein-Erft-Kreis;8877;4116;1315;479
2023;JH05362004;      Jugendamt Bedburg (neu ab 10.06.2011);523;256;54;27
2023;JH05362008;      Jugendamt Bergheim;873;410;181;62
2023;JH05362012;      Jugendamt Brühl;726;316;147;48
2023;JH05362016;      Jugendamt Elsdorf (neu ab 10.06.2011);533;229;54;8
2023;JH05362020;      Jugendamt Erftstadt;1034;539;122;43
2023;JH05362024;      Jugendamt Frechen;615;254;140;76
2023;JH05362028;      Jugendamt Hürth;1210;520;196;84
2023;JH05362032;      Jugendamt Kerpen;1614;787;142;42
2023;JH05362036;      Jugendamt Pulheim;1045;468;207;59
2023;JH05362040;      Jugendamt Wesseling;704;337;72;30
2023;JH05362999;      Kreisjugendamt Rhein-Erft-Kreis (bis 31.12.2010);-;-;-;-
2023;05366;    Euskirchen, Kreis;2497;1064;385;109
2023;JH05366999;      Kreisjugendamt des Kreises Euskirchen;2497;1064;385;109
2023;05370;    Heinsberg, Kreis;3647;1535;796;245
2023;JH05370004;      Jugendamt Erkelenz;788;467;87;42
2023;JH05370012;      Jugendamt Geilenkirchen (neu ab 01.01.2008);303;124;114;46
2023;JH05370016;      Jugendamt Heinsberg;829;373;134;35
2023;JH05370020;      Jugendamt Hückelhoven (neu ab 01.01.2003);464;134;132;40
2023;JH05370999;      Kreisjugendamt des Kreises Heinsberg;1263;437;329;82
2023;05374;    Oberbergischer Kreis;5449;2588;585;164
2023;JH05374012;      Jugendamt Gummersbach;312;131;32;20
2023;JH05374036;      Jugendamt Radevormwald;563;224;54;12
2023;JH05374048;      Jugendamt Wiehl;187;46;46;15
2023;JH05374052;      Jugendamt Wipperfürth;1161;701;50;20
2023;JH05374999;      Kreisjugendamt des Oberbergischen Kreises;3226;1486;403;97
2023;05378;    Rheinisch-Bergischer Kreis;4252;2332;712;281
2023;JH05378004;      Jugendamt Bergisch Gladbach;1959;1085;366;156
2023;JH05378016;      Jugendamt Leichlingen (Rhld.);218;100;80;36
2023;JH05378024;      Jugendamt Overath;244;83;67;23
2023;JH05378028;      Jugendamt Rösrath (neu ab 01.01.2001);254;75;89;26
2023;JH05378032;      Jugendamt Wermelskirchen;689;423;36;7
2023;JH05378999;      Kreisjugendamt des Rhein.-Berg. Kreises;888;566;74;33
2023;05382;    Rhein-Sieg-Kreis;9495;4948;1343;429
2023;JH05382008;      Jugendamt Bad Honnef (neu ab 01.01.2008);148;49;46;12
2023;JH05382012;      Jugendamt Bornheim (neu ab 01.01.2005);440;158;183;70
2023;JH05382020;      Jugendamt Hennef (Sieg);987;483;126;35
2023;JH05382024;      Jugendamt Königswinter (neu ab 01.01.2008);740;459;85;21
2023;JH05382028;      Jugendamt Lohmar;297;100;114;36
2023;JH05382032;      Jugendamt Meckenheim (neu ab 01.01.2005);162;41;42;11
2023;JH05382044;      Jugendamt Niederkassel;671;415;43;15
2023;JH05382048;      Jugendamt Rheinbach (neu ab 01.01.2008);191;83;59;26
2023;JH05382056;      Jugendamt Sankt Augustin;1454;842;155;63
2023;JH05382060;      Jugendamt Siegburg (neu ab 01.07.2004);282;94;67;23
2023;JH05382068;      Jugendamt Troisdorf;795;240;215;64
2023;JH05382999;      Kreisjugendamt des Rhein-Sieg-Kreises;3328;1984;208;53
2023;055;  Münster, Regierungsbezirk;42661;20833;4194;1372
2023;05512;    Bottrop, krfr. Stadt;1828;945;191;82
2023;05513;    Gelsenkirchen, krfr. Stadt;3549;1460;293;94
2023;05515;    Münster, krfr. Stadt;4885;2518;903;312
2023;05554;    Borken, Kreis;6736;3646;454;140
2023;JH05554004;      Jugendamt Ahaus;1717;1169;40;13
2023;JH05554008;      Jugendamt Bocholt;1810;922;111;29
2023;JH05554012;      Jugendamt Borken;1244;827;64;18
2023;JH05554020;      Jugendamt Gronau;656;274;49;21
2023;JH05554999;      Kreisjugendamt des Kreises Borken;1309;454;190;59
2023;05558;    Coesfeld, Kreis;2542;1240;258;79
2023;JH05558012;      Jugendamt Coesfeld;304;137;51;18
2023;JH05558016;      Jugendamt Dülmen;537;199;69;30
2023;JH05558999;      Kreisjugendamt des Kreises Coesfeld;1701;904;138;31
2023;05562;    Recklinghausen, Kreis;11426;5331;1322;409
2023;JH05562004;      Jugendamt Castrop-Rauxel;1519;634;157;37
2023;JH05562008;      Jugendamt Datteln;320;106;63;21
2023;JH05562012;      Jugendamt Dorsten;889;396;154;41
2023;JH05562014;      Jugendamt Gladbeck;1717;779;161;47
2023;JH05562016;      Jugendamt Haltern am See;556;235;157;50
2023;JH05562020;      Jugendamt Herten;772;255;190;51
2023;JH05562024;      Jugendamt Marl;1855;968;63;20
2023;JH05562028;      Jugendamt Oer-Erkenschwick;292;56;64;9
2023;JH05562032;      Jugendamt Recklinghausen;3267;1844;254;124
2023;JH05562036;      Jugendamt Waltrop;239;58;59;9
2023;05566;    Steinfurt, Kreis;7258;3862;419;125
2023;JH05566008;      Jugendamt Emsdetten;450;249;53;16
2023;JH05566012;      Jugendamt Greven;486;295;-;-
2023;JH05566028;      Jugendamt Ibbenbüren;997;477;62;10
2023;JH05566076;      Jugendamt Rheine;2119;1239;173;63
2023;JH05566999;      Kreisjugendamt des Kreises Steinfurt;3206;1602;131;36
2023;05570;    Warendorf, Kreis;4437;1831;354;131
2023;JH05570004;      Jugendamt Ahlen;1059;529;148;78
2023;JH05570008;      Jugendamt Beckum;843;350;63;13
2023;JH05570028;      Jugendamt Oelde;367;61;25;2
2023;JH05570999;      Kreisjugendamt des Kreises Warendorf;2168;891;118;38
2023;057;  Detmold, Regierungsbezirk;30085;14858;3786;1229
2023;05711;    Bielefeld, krfr. Stadt;5823;2916;715;223
2023;05754;    Gütersloh, Kreis;6062;3301;611;202
2023;JH05754008;      Jugendamt Gütersloh;2181;1381;147;43
2023;JH05754028;      Jugendamt Rheda-Wiedenbrück (neu ab 01.01.2012);388;167;24;4
2023;JH05754044;      Jugendamt Verl (neu ab 01.01.2010);155;57;36;6
2023;JH05754999;      Kreisjugendamt des Kreises Gütersloh;3338;1696;404;149
2023;05758;    Herford, Kreis;3197;1617;291;97
2023;JH05758004;      Jugendamt Bünde (neu ab 01.01.2001);235;106;31;13
2023;JH05758012;      Jugendamt Herford;1149;511;83;32
2023;JH05758024;      Jugendamt Löhne;259;86;45;17
2023;JH05758999;      Kreisjugendamt des Kreises Herford;1554;914;132;35
2023;05762;    Höxter, Kreis;1727;872;315;109
2023;JH05762999;      Kreisjugendamt des Kreises Höxter;1727;872;315;109
2023;05766;    Lippe, Kreis;4369;2050;590;192
2023;JH05766008;      Jugendamt Bad Salzuflen;439;159;100;30
2023;JH05766020;      Jugendamt Detmold;1050;520;121;49
2023;JH05766040;      Jugendamt Lage;263;84;38;15
2023;JH05766044;      Jugendamt Lemgo;355;132;66;11
2023;JH05766999;      Kreisjugendamt des Kreises Lippe;2262;1155;265;87
2023;05770;    Minden-Lübbecke, Kreis;3975;1934;534;179
2023;JH05770004;      Jugendamt Bad Oeynhausen;243;100;72;26
2023;JH05770024;      Jugendamt Minden;852;290;136;37
2023;JH05770032;      Jugendamt Porta Westfalica (neu ab 01.01.2004);335;136;105;42
2023;JH05770999;      Kreisjugendamt des Kreises Minden-Lübbecke;2545;1408;221;74
2023;05774;    Paderborn, Kreis;4932;2168;730;227
2023;JH05774032;      Jugendamt Paderborn;3191;1477;394;119
2023;JH05774999;      Kreisjugendamt des Kreises Paderborn;1741;691;336;108
2023;059;  Arnsberg, Regierungsbezirk;59421;31105;7964;2511
2023;05911;    Bochum, krfr. Stadt;5478;2707;820;218
2023;05913;    Dortmund, krfr. Stadt;10715;5707;1890;569
2023;05914;    Hagen, krfr. Stadt;3012;1748;372;137
2023;05915;    Hamm, krfr. Stadt;4315;2052;516;180
2023;05916;    Herne, krfr. Stadt;2787;1503;270;113
2023;05954;    Ennepe-Ruhr-Kreis;5823;2907;1011;346
2023;JH05954008;      Jugendamt Ennepetal/Breckerfeld;1134;690;176;96
2023;JH05954012;      Jugendamt Gevelsberg;375;145;87;18
2023;JH05954016;      Jugendamt Hattingen;835;479;74;29
2023;JH05954020;      Jugendamt Herdecke;506;300;50;17
2023;JH05954024;      Jugendamt Schwelm;495;230;100;42
2023;JH05954028;      Jugendamt Sprockhövel (neu ab 01.12.2002);295;77;52;6
2023;JH05954032;      Jugendamt Wetter;257;96;83;31
2023;JH05954036;      Jugendamt Witten;1926;890;389;107
2023;05958;    Hochsauerlandkreis;4257;2175;433;142
2023;JH05958004;      Jugendamt Arnsberg;1484;805;155;68
2023;JH05958040;      Jugendamt Schmallenberg;215;76;41;10
2023;JH05958044;      Jugendamt Sundern (Sauerland);698;387;37;16
2023;JH05958999;      Kreisjugendamt des Hochsauerlandkreises;1860;907;200;48
2023;05962;    Märkischer Kreis;7157;4035;559;163
2023;JH05962004;      Jugendamt Altena;548;360;14;5
2023;JH05962016;      Jugendamt Hemer;537;317;34;11
2023;JH05962024;      Jugendamt Iserlohn;1597;882;120;31
2023;JH05962032;      Jugendamt Lüdenscheid;1242;603;86;29
2023;JH05962040;      Jugendamt Menden;1133;781;69;13
2023;JH05962052;      Jugendamt Plettenberg;443;259;31;3
2023;JH05962060;      Jugendamt Werdohl;165;63;31;9
2023;JH05962999;      Kreisjugendamt des Märkischen Kreises;1492;770;174;62
2023;05966;    Olpe, Kreis;1148;779;15;-
2023;JH05966999;      Kreisjugendamt des Kreises Olpe;1148;779;15;-
2023;05970;    Siegen-Wittgenstein, Kreis;/;/;/;/
2023;JH05970040;      Jugendamt Siegen;2001;1219;317;103
2023;JH05970999;      Kreisjugendamt des Kreises Siegen-Wittgenstein;.;.;.;.
2023;05974;    Soest, Kreis;5327;2643;824;206
2023;JH05974028;      Jugendamt Lippstadt;1323;689;180;48
2023;JH05974040;      Jugendamt Soest;890;515;166;51
2023;JH05974044;      Jugendamt Warstein;767;419;83;26
2023;JH05974999;      Kreisjugendamt des Kreises Soest;2347;1020;395;81
2023;05978;    Unna, Kreis;7401;3630;937;334
2023;JH05978004;      Jugendamt Bergkamen;1005;452;95;35
2023;JH05978020;      Jugendamt Kamen;736;373;52;24
2023;JH05978024;      Jugendamt Lünen;1751;880;275;77
2023;JH05978028;      Jugendamt Schwerte;1029;652;124;43
