Tabelle: 12411-02-03-4
Bevölkerung nach Geschlecht und Altersgruppen (17) -;;;;;;
Stichtag 31.12. - regionale Tiefe: Kreise und krfr. Städte;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;
Bevölkerungsstand (Anzahl);;;;;;
;;;;Insgesamt;männlich;weiblich
31.12.2023;05154;      Kleve, Kreis;6 bis unter 10 Jahre;12076;6099;5977
31.12.2023;05154;      Kleve, Kreis;10 bis unter 15 Jahre;14638;7565;7073
31.12.2023;05154;      Kleve, Kreis;15 bis unter 18 Jahre;9120;4779;4341
31.12.2023;05154;      Kleve, Kreis;18 bis unter 20 Jahre;6347;3318;3029
31.12.2023;05154;      Kleve, Kreis;Insgesamt;319928;159614;160314
31.12.2023;05158;      Mettmann, Kreis;6 bis unter 10 Jahre;19299;9861;9438
31.12.2023;05158;      Mettmann, Kreis;10 bis unter 15 Jahre;22576;11559;11017
31.12.2023;05158;      Mettmann, Kreis;15 bis unter 18 Jahre;14196;7211;6985
31.12.2023;05158;      Mettmann, Kreis;18 bis unter 20 Jahre;8994;4669;4325
31.12.2023;05158;      Mettmann, Kreis;Insgesamt;489760;237099;252661
31.12.2023;05162;      Rhein-Kreis Neuss;6 bis unter 10 Jahre;18779;9568;9211
31.12.2023;05162;      Rhein-Kreis Neuss;10 bis unter 15 Jahre;21884;11154;10730
31.12.2023;05162;      Rhein-Kreis Neuss;15 bis unter 18 Jahre;13360;6803;6557
31.12.2023;05162;      Rhein-Kreis Neuss;18 bis unter 20 Jahre;8653;4599;4054
31.12.2023;05162;      Rhein-Kreis Neuss;Insgesamt;457398;223183;234215
31.12.2023;05166;      Viersen, Kreis;6 bis unter 10 Jahre;11252;5704;5548
31.12.2023;05166;      Viersen, Kreis;10 bis unter 15 Jahre;13204;6654;6550
31.12.2023;05166;      Viersen, Kreis;15 bis unter 18 Jahre;8392;4279;4113
31.12.2023;05166;      Viersen, Kreis;18 bis unter 20 Jahre;5418;2843;2575
31.12.2023;05166;      Viersen, Kreis;Insgesamt;297504;145587;151917
31.12.2023;05170;      Wesel, Kreis;6 bis unter 10 Jahre;17350;8828;8522
31.12.2023;05170;      Wesel, Kreis;10 bis unter 15 Jahre;20213;10330;9883
31.12.2023;05170;      Wesel, Kreis;15 bis unter 18 Jahre;12469;6546;5923
31.12.2023;05170;      Wesel, Kreis;18 bis unter 20 Jahre;8307;4434;3873
31.12.2023;05170;      Wesel, Kreis;Insgesamt;457545;222771;234774
31.12.2023;053;    Köln, Regierungsbezirk;6 bis unter 10 Jahre;171216;88028;83188
31.12.2023;053;    Köln, Regierungsbezirk;10 bis unter 15 Jahre;204135;105034;99101
31.12.2023;053;    Köln, Regierungsbezirk;15 bis unter 18 Jahre;126327;65346;60981
31.12.2023;053;    Köln, Regierungsbezirk;18 bis unter 20 Jahre;88274;46112;42162
31.12.2023;053;    Köln, Regierungsbezirk;Insgesamt;4478118;2203323;2274795
31.12.2023;05314;      Bonn, kreisfreie Stadt;6 bis unter 10 Jahre;12036;6280;5756
31.12.2023;05314;      Bonn, kreisfreie Stadt;10 bis unter 15 Jahre;15071;7681;7390
31.12.2023;05314;      Bonn, kreisfreie Stadt;15 bis unter 18 Jahre;9431;4899;4532
31.12.2023;05314;      Bonn, kreisfreie Stadt;18 bis unter 20 Jahre;6973;3528;3445
31.12.2023;05314;      Bonn, kreisfreie Stadt;Insgesamt;321680;155098;166582
31.12.2023;05315;      Köln, kreisfreie Stadt;6 bis unter 10 Jahre;37464;19218;18246
31.12.2023;05315;      Köln, kreisfreie Stadt;10 bis unter 15 Jahre;44382;22904;21478
31.12.2023;05315;      Köln, kreisfreie Stadt;15 bis unter 18 Jahre;27044;14013;13031
31.12.2023;05315;      Köln, kreisfreie Stadt;18 bis unter 20 Jahre;18586;9375;9211
31.12.2023;05315;      Köln, kreisfreie Stadt;Insgesamt;1024408;498050;526358
31.12.2023;05316;      Leverkusen, kreisfreie Stadt;6 bis unter 10 Jahre;6585;3352;3233
31.12.2023;05316;      Leverkusen, kreisfreie Stadt;10 bis unter 15 Jahre;8083;4143;3940
31.12.2023;05316;      Leverkusen, kreisfreie Stadt;15 bis unter 18 Jahre;5057;2563;2494
31.12.2023;05316;      Leverkusen, kreisfreie Stadt;18 bis unter 20 Jahre;3281;1686;1595
31.12.2023;05316;      Leverkusen, kreisfreie Stadt;Insgesamt;167850;82468;85382
31.12.2023;05334;      Städteregion Aachen, Kreis;6 bis unter 10 Jahre;20452;10376;10076
31.12.2023;05334;      Städteregion Aachen, Kreis;10 bis unter 15 Jahre;24402;12444;11958
31.12.2023;05334;      Städteregion Aachen, Kreis;15 bis unter 18 Jahre;15367;7891;7476
31.12.2023;05334;      Städteregion Aachen, Kreis;18 bis unter 20 Jahre;13020;6948;6072
31.12.2023;05334;      Städteregion Aachen, Kreis;Insgesamt;582463;294567;287896
31.12.2023;05334002;      Aachen, kreisfreie Stadt;6 bis unter 10 Jahre;7954;4060;3894
31.12.2023;05334002;      Aachen, kreisfreie Stadt;10 bis unter 15 Jahre;9634;4849;4785
31.12.2023;05334002;      Aachen, kreisfreie Stadt;15 bis unter 18 Jahre;6121;3107;3014
31.12.2023;05334002;      Aachen, kreisfreie Stadt;18 bis unter 20 Jahre;6898;3866;3032
31.12.2023;05334002;      Aachen, kreisfreie Stadt;Insgesamt;263772;137759;126013
31.12.2023;05354;      Aachen, Kreis;6 bis unter 10 Jahre;-;-;-
31.12.2023;05354;      Aachen, Kreis;10 bis unter 15 Jahre;-;-;-
31.12.2023;05354;      Aachen, Kreis;15 bis unter 18 Jahre;-;-;-
31.12.2023;05354;      Aachen, Kreis;18 bis unter 20 Jahre;-;-;-
31.12.2023;05354;      Aachen, Kreis;Insgesamt;-;-;-
31.12.2023;05358;      Düren, Kreis;6 bis unter 10 Jahre;10900;5659;5241
31.12.2023;05358;      Düren, Kreis;10 bis unter 15 Jahre;12563;6525;6038
31.12.2023;05358;      Düren, Kreis;15 bis unter 18 Jahre;7914;4216;3698
31.12.2023;05358;      Düren, Kreis;18 bis unter 20 Jahre;5277;2834;2443
31.12.2023;05358;      Düren, Kreis;Insgesamt;278462;138720;139742
31.12.2023;05362;      Rhein-Erft-Kreis;6 bis unter 10 Jahre;19416;10171;9245
31.12.2023;05362;      Rhein-Erft-Kreis;10 bis unter 15 Jahre;22641;11626;11015
31.12.2023;05362;      Rhein-Erft-Kreis;15 bis unter 18 Jahre;13740;7147;6593
31.12.2023;05362;      Rhein-Erft-Kreis;18 bis unter 20 Jahre;9136;4726;4410
31.12.2023;05362;      Rhein-Erft-Kreis;Insgesamt;476412;233784;242628
31.12.2023;05366;      Euskirchen, Kreis;6 bis unter 10 Jahre;7845;4069;3776
31.12.2023;05366;      Euskirchen, Kreis;10 bis unter 15 Jahre;9223;4808;4415
31.12.2023;05366;      Euskirchen, Kreis;15 bis unter 18 Jahre;5874;3083;2791
31.12.2023;05366;      Euskirchen, Kreis;18 bis unter 20 Jahre;3898;2057;1841
31.12.2023;05366;      Euskirchen, Kreis;Insgesamt;201841;100316;101525
31.12.2023;05370;      Heinsberg, Kreis;6 bis unter 10 Jahre;10133;5125;5008
