Tabelle: 12411-02-03-4
Bevölkerung nach Geschlecht und Altersgruppen (17) -;;;;;;
Stichtag 31.12. - regionale Tiefe: Kreise und krfr. Städte;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;
Bevölkerungsstand (Anzahl);;;;;;
;;;;Insgesamt;männlich;weiblich
31.12.2023;05962;      Märkischer Kreis;6 bis unter 10 Jahre;15717;8050;7667
31.12.2023;05962;      Märkischer Kreis;10 bis unter 15 Jahre;18936;9781;9155
31.12.2023;05962;      Märkischer Kreis;15 bis unter 18 Jahre;12029;6236;5793
31.12.2023;05962;      Märkischer Kreis;18 bis unter 20 Jahre;8044;4189;3855
31.12.2023;05962;      Märkischer Kreis;Insgesamt;408899;201265;207634
31.12.2023;05966;      Olpe, Kreis;6 bis unter 10 Jahre;5209;2708;2501
31.12.2023;05966;      Olpe, Kreis;10 bis unter 15 Jahre;6135;3168;2967
31.12.2023;05966;      Olpe, Kreis;15 bis unter 18 Jahre;3926;2047;1879
31.12.2023;05966;      Olpe, Kreis;18 bis unter 20 Jahre;2681;1443;1238
31.12.2023;05966;      Olpe, Kreis;Insgesamt;132426;66513;65913
31.12.2023;05970;      Siegen-Wittgenstein, Kreis;6 bis unter 10 Jahre;10617;5456;5161
31.12.2023;05970;      Siegen-Wittgenstein, Kreis;10 bis unter 15 Jahre;12515;6572;5943
31.12.2023;05970;      Siegen-Wittgenstein, Kreis;15 bis unter 18 Jahre;7607;4036;3571
31.12.2023;05970;      Siegen-Wittgenstein, Kreis;18 bis unter 20 Jahre;5238;2793;2445
31.12.2023;05970;      Siegen-Wittgenstein, Kreis;Insgesamt;274379;136640;137739
31.12.2023;05974;      Soest, Kreis;6 bis unter 10 Jahre;11574;5845;5729
31.12.2023;05974;      Soest, Kreis;10 bis unter 15 Jahre;13847;7077;6770
31.12.2023;05974;      Soest, Kreis;15 bis unter 18 Jahre;8848;4552;4296
31.12.2023;05974;      Soest, Kreis;18 bis unter 20 Jahre;5923;3157;2766
31.12.2023;05974;      Soest, Kreis;Insgesamt;300347;149257;151090
31.12.2023;05978;      Unna, Kreis;6 bis unter 10 Jahre;14961;7633;7328
31.12.2023;05978;      Unna, Kreis;10 bis unter 15 Jahre;17570;8997;8573
31.12.2023;05978;      Unna, Kreis;15 bis unter 18 Jahre;11077;5828;5249
31.12.2023;05978;      Unna, Kreis;18 bis unter 20 Jahre;7547;4018;3529
31.12.2023;05978;      Unna, Kreis;Insgesamt;396283;194124;202159
__________
"zu ""gesamter Tabelle"":
Alle Länder: 
Bei den Bevölkerungsdaten handelt es sich um
Fortschreibungszahlen, die ab dem Berichtsmonat Mai 2022 auf
den Ergebnissen des Zensus vom 15. Mai 2022 basieren. Die
Berichtsjahre 2011 bis 2021 basieren auf den Ergebnissen
des Zensus vom 09. Mai 2011. Bevölkerungsdaten für die
Berichtsjahre 1987 bis 2010 wurden in den alten
Bundesländern aufgrund der Ergebnisse der Volkszählung vom
25. Mai 1987 erstellt, in den neuen Bundesländern bildet
die am 3. Oktober 1990 aufgrund eines Auszugs des zentralen
Einwohnerregisters der ehemaligen DDR festgestellte
amtliche Einwohnerzahl die Grundlage.

Alle Länder: Die Entwicklung des Bevölkerungsstandes ab dem
Berichtsjahr 2016 ist aufgrund methodischer Änderungen in
den zugrunde liegenden Bevölkerungsbewegungsstatistiken nur
bedingt mit den Werten vor 2016 vergleichbar. Einschrän-
kungen bei der Genauigkeit der Ergebnisse können aus der er-
höhten Zuwanderung und den dadurch bedingten Problemen bei
der melderechtlichen Erfassung Schutzsuchender resultieren.
Baden-Württemberg (Berichtsjahr 2008-2010): Gebietsstand
01.01.2009
Baden-Württemberg (ab Berichtsjahr 2011): Gebietsstand
01.01.2011
Baden-Württemberg (31.12.2017): Abweichungen zu anderen
Veröffentlichungen ergeben sich ggf. durch nachträgliche
Korrekturen.
Nordrhein-Westfalen (31.12.2016): Für sechs Kommunen ist
das vorliegende Ergebnis, das u. a. auf Basis der von den
Meldebehörden erhaltenen Nachrichten ermittelt wurde, un-
plausibel. Daher ist die Genauigkeit der Ergebnisse der
übergeordneten Verwaltungsbezirke eingeschränkt. Die Gründe
hierfür liegen offenbar in der melderechtlichen Behandlung
von Schutzsuchenden. Die Unstimmigkeiten konnten nicht ab-
schließend aufgelöst werden."
"© Statistische Ämter des Bundes und der Länder, Deutschland, 2025.
Dieses Werk ist lizenziert unter der Datenlizenz Deutschland
- Namensnennung - Version 2.0."
Stand: 18.12.2025 / 12:13:08
