Tabelle: 22811-01i
Sozialberichterstattung in der amtlichen Statistik:;;
Mindestsicherungsquote - Gemeinden (Wohnortprinzip) -Jahr;;
Sozialberichterstattung in der amtlichen Statistik;;
Mindestsicherungsquote (Prozent);;
;;Jahr
;;2023
05378;    Rheinisch-Bergischer Kreis;7,9
05378004;      Bergisch Gladbach, Stadt;9,6
05378008;      Burscheid, Stadt;8,0
05378012;      Kürten;6,5
05378016;      Leichlingen (Rhld.), Stadt;6,4
05378020;      Odenthal;4,0
05378024;      Overath, Stadt;7,2
05378028;      Rösrath, Stadt;7,4
05378032;      Wermelskirchen, Stadt;7,5
05382;    Rhein-Sieg-Kreis;7,8
05382004;      Alfter;5,6
05382008;      Bad Honnef, Stadt;6,5
05382012;      Bornheim, Stadt;6,3
05382016;      Eitorf;11,4
05382020;      Hennef (Sieg), Stadt;6,8
05382024;      Königswinter, Stadt;6,5
05382028;      Lohmar, Stadt;5,9
05382032;      Meckenheim, Stadt;7,6
05382036;      Much;8,1
05382040;      Neunkirchen-Seelscheid;6,3
05382044;      Niederkassel, Stadt;6,2
05382048;      Rheinbach, Stadt;5,9
05382052;      Ruppichteroth;6,9
05382056;      Sankt Augustin, Stadt;10,1
05382060;      Siegburg, Stadt;11,4
05382064;      Swisttal;5,4
05382068;      Troisdorf, Stadt;9,9
05382072;      Wachtberg;4,6
05382076;      Windeck;9,9
055;  Münster, Regierungsbezirk;10,2
05512;    Bottrop, krfr. Stadt;11,3
05513;    Gelsenkirchen, krfr. Stadt;22,0
05515;    Münster, krfr. Stadt;8,9
05554;    Borken, Kreis;6,1
05554004;      Ahaus, Stadt;5,3
05554008;      Bocholt, Stadt;7,3
05554012;      Borken, Stadt;5,6
05554016;      Gescher, Stadt;6,6
05554020;      Gronau (Westf.), Stadt;8,8
05554024;      Heek;4,3
05554028;      Heiden;5,1
05554032;      Isselburg, Stadt;4,9
05554036;      Legden;5,3
05554040;      Raesfeld;4,1
05554044;      Reken;5,1
05554048;      Rhede, Stadt;5,0
05554052;      Schöppingen;7,6
05554056;      Stadtlohn, Stadt;4,7
05554060;      Südlohn;3,6
05554064;      Velen, Stadt;5,3
05554068;      Vreden, Stadt;5,1
05558;    Coesfeld, Kreis;6,4
05558004;      Ascheberg;6,9
05558008;      Billerbeck, Stadt;5,1
05558012;      Coesfeld, Stadt;6,5
05558016;      Dülmen, Stadt;6,6
05558020;      Havixbeck;6,6
05558024;      Lüdinghausen, Stadt;7,4
05558028;      Nordkirchen;5,9
05558032;      Nottuln;5,9
05558036;      Olfen, Stadt;5,2
05558040;      Rosendahl;4,8
05558044;      Senden;6,6
05562;    Recklinghausen, Kreis;13,2
05562004;      Castrop-Rauxel, Stadt;13,3
05562008;      Datteln, Stadt;11,6
05562012;      Dorsten, Stadt;10,9
05562014;      Gladbeck, Stadt;17,6
05562016;      Haltern am See, Stadt;5,9
05562020;      Herten, Stadt;13,7
05562024;      Marl, Stadt;14,9
05562028;      Oer-Erkenschwick, Stadt;10,9
05562032;      Recklinghausen, Stadt;14,9
05562036;      Waltrop, Stadt;8,6
05566;    Steinfurt, Kreis;7,2
05566004;      Altenberge;6,2
05566008;      Emsdetten, Stadt;6,4
05566012;      Greven, Stadt;7,1
05566016;      Hörstel, Stadt;5,8
05566020;      Hopsten;5,5
05566024;      Horstmar, Stadt;5,9
05566028;      Ibbenbüren, Stadt;7,5
05566032;      Ladbergen;6,0
05566036;      Laer;6,7
